year,team1,team1_score,team2,team2_score
2021,California,63,"Oregon St.",71
2021,"Rhode Island",88,"Arizona St.",94
2021,Westmont,79,CSUN,97
2021,SIUE,52,"Saint Louis",89
2021,"South Dakota St.",71,"West Virginia",79
2021,"Coastal Ga.",57,Jacksonville,99
2021,"Southeastern La.",63,"Purdue Fort Wayne",67
2021,"St. Andrews",63,VMI,90
2021,"N.C. Wesleyan",52,Elon,82
2021,"Northwestern St.",58,"Texas Tech",101
2021,"High Point",73,Davidson,82
2021,"Florida A&M",56,FGCU,65
2021,"Sacred Heart",63,Rutgers,86
2021,"Green Bay",69,Minnesota,99
2021,"Oral Roberts",64,Missouri,91
2021,"Idaho St.",49,"Santa Clara",62
2021,"Tex. Permian Basin",81,UTEP,100
2021,UIC,65,"Northern Ill.",61
2021,"Fla. Atlantic",66,"South Alabama",68
2021,"Saint Francis (PA)",80,Pittsburgh,70
2021,"Saint Peter's",75,"St. John's (NY)",76
2021,"Mississippi Val.",62,Arkansas,142
2021,"Charleston So.",61,"NC State",95
2021,"Central Conn. St.",75,UConn,102
2021,"Dallas Christian",48,"Tarleton St.",103
2021,"Southern Utah",83,"LMU (CA)",85
2021,"Westminster (UT)",59,BYU,108
2021,"Sam Houston St.",67,SMU,97
2021,"Jacksonville St.",57,Alabama,81
2021,"Houston Baptist",45,TCU,69
2021,UTRGV,55,Texas,91
2021,"South Dakota",61,Colorado,84
2021,"Tennessee Tech",59,Indiana,89
2021,Clemson,53,"Mississippi St.",42
2021,"Tex. A&M Int'l",53,"A&M-Corpus Christi",64
2021,"California Baptist",87,"Southern California",95
2021,"Georgia St.",123,"Georgia Tech",120
2021,"Adams St.",60,"Weber St.",88
2021,Grambling,53,"Grand Canyon",69
2021,Villanova,76,"Boston College",67
2021,"Montana St.",91,UNLV,78
2021,VCU,85,"Utah St.",69
2021,"Eastern Ill.",67,Wisconsin,77
2021,"Nicholls St.",101,"UC Davis",93
2021,"Ark.-Pine Bluff",57,Marquette,99
2021,"Bethesda (CA)",57,"Sacramento St.",101
2021,UCLA,58,"San Diego St.",73
2021,"Texas Southern",52,"Washington St.",56
2021,"Seattle U",84,Portland,72
2021,Omaha,60,"Middle Tenn.",59
2021,Bradley,50,Xavier,51
2021,"Western Ky.",75,Memphis,69
2021,"Chicago St.",38,Illinois,97
2021,"Adams St.",75,"Utah Valley",100
2021,Gonzaga,102,Kansas,90
2021,"La Salle",65,"St. John's (NY)",82
2021,Nevada,69,Nebraska,66
2021,"Austin Peay",67,ETSU,66
2021,VCU,66,"West Virginia",78
2021,Toledo,80,Oakland,53
2021,"N.C. A&T",72,Ohio,84
2021,"San Francisco",79,Towson,68
2021,"Saint Joseph's",91,Auburn,96
2021,Howard,78,Belmont,95
2021,UNI,64,"Saint Mary's (CA)",66
2021,Liberty,84,"Mississippi St.",73
2021,"Northwest (WA)",61,California,86
2021,"Boston College",69,"Rhode Island",64
2021,SIUE,81,LSU,94
2021,"Utah St.",59,"South Dakota St.",83
2021,"Mississippi Val.",62,"North Texas",116
2021,"Queens (NC)",65,"George Mason",66
2021,Purdue,70,Clemson,81
2021,"New Orleans",61,BYU,86
2021,Villanova,83,"Arizona St.",74
