year,team1,team1_score,team2,team2_score
2018,Gardner-Webb,74,Florida,116
2018,"North Dakota St.",65,USC,75
2018,"Western Caro.",51,Cincinnati,102
2018,"Mt. St. Mary's",62,"Notre Dame",88
2018,Minnesota,86,Providence,74
2018,Rider,75,Xavier,101
2018,"St. Peter's",66,Northwestern,75
2018,"New Mexico St.",74,"St. Mary's (Cal.)",92
2018,"Texas A&M-C.C.;",46,Baylor,70
2018,Troy,67,Hawaii,72
2018,"N.C. Central",55,Evansville,68
2018,"Jacksonville St.",94,Richmond,61
2018,"Eastern Kentucky",75,Mississippi,85
2018,"LIU Brooklyn",68,Fordham,81
2018,"Cent. Michigan",65,Michigan,72
2018,Montana,83,Pittsburgh,78
2018,"Austin Peay",49,Virginia,93
2018,"Morgan State",63,"South Florida",53
2018,"South Dakota",88,"Bowling Green",79
2018,"North Florida",85,VCU,95
2018,"Southern Univ.",74,Marshall,83
2018,Albany,88,"Boston U.",74
2018,"New Orleans",68,Oakland,87
2018,"Columbia Int'l",44,Campbell,108
2018,Michigan-Dearborn,82,"Detroit Mercy",105
2018,Binghamton,84,Cornell,94
2018,Lees-McRae,60,"UNC Asheville",92
2018,"Old Dominion",69,"James Madison",53
2018,"Kennesaw State",57,Hofstra,75
2018,"Frostburg State",45,Towson,89
2018,"La Salle",75,Penn,71
2018,Brown,79,Quinnipiac,72
2018,FGCU,86,Siena,53
2018,"East Tenn. St.",76,"Savannah State",61
2018,Lynchburg,83,"Norfolk State",80
2018,Arcadia,81,Drexel,95
2018,"Southeast Mo. St.",95,"Louisiana Tech",96
2018,"CSU Bakersfield",53,"Ga. Southern",77
2018,Vanderbilt,60,Belmont,69
2018,"Anderson (Ind.)",43,IUPUI,75
2018,"Delaware State",57,DePaul,81
2018,Milwaukee,74,"Iowa State",56
2018,"North Texas",67,Nebraska,86
2018,"Western Mich.",60,"South Carolina",78
2018,Charlotte,65,"Oklahoma State",83
2018,"Southeastern La.",66,Tulane,89
2018,"Oral Roberts",71,Tulsa,90
2018,"Alcorn State",45,UNI,73
2018,"Abilene Christian",69,"Arkansas State",83
2018,"Trinity Christian",46,Valparaiso,83
2018,"Trinity (Texas)",57,"Incarnate Word",93
2018,Chattanooga,47,UAB,89
2018,"Alabama A&M;",68,Samford,87
2018,Ecclesia,54,"McNeese ",101
2018,"Middle Tenn.",72,"Murray State",67
2018,Reinhardt,53,"Tennessee State",92
2018,Bethune-Cookman,74,UTRGV,92
2018,"Saint Joseph's",86,Illinois-Chicago,82
2018,Mobile,49,"South Alabama",71
2018,Rockhurst,50,"Saint Louis",74
2018,"Embry-Riddle (FL)",82,"Northern Ariz.",70
2018,"Prairie View A&M;",67,Oregon,100
2018,Wagner,55,Missouri,99
2018,"Miss. Valley St.",51,Utah,91
2018,"Tennessee Tech",63,TCU,100
2018,"Montana St.",73,"Utah State",81
2018,"Robert Morris",61,"Grand Canyon",75
2018,"UC Davis",74,"Northern Colo.",59
2018,"Ark.-Pine Bluff",71,"North Dakota",80
2018,CSUN,73,"Fresno State",89
2018,"St. Francis (Pa.)",63,"San Francisco",75
2018,"George Fox",62,Idaho,101
2018,Wyoming,75,"Oregon St.",66
2018,"Rhode Island",81,Nevada,88
2018,Duke,88,"Mich. St. ",81
2018,Kentucky,61,Kansas,65
2018,"Nicholls State",77,Villanova,113
2018,Howard,69,Gonzaga,106
2018,Purdue,86,Marquette,71
2018,"Cent. Conn. St.",55,"St. John's ",80
2018,VMI,61,Duquesne,77
2018,"Cleveland State",38,Rutgers,70
2018,"S.C. Upstate",65,Georgia,74
2018,"Geo. Washington",67,"Florida State",87
2018,"Sacred Heart",53,"Boston College",73
2018,Iona,62,Syracuse,71
2018,"Stony Brook",64,UConn,72
2018,UNCW,81,Davidson,108
2018,Canisius,79,"Air Force",93
2018,"High Point",53,Tennessee,84
2018,Bryant,72,"NC State",95
2018,"Wright State",67,"Miami (Ohio)",73
2018,"Ohio Northern",62,Toledo,72
2018,Elon,67,Furman,76
2018,"Jackson State",58,Mercer,86
2018,Lafayette,80,NJIT,96
2018,"John Jay",43,"Army West Point",92
2018,Monmouth,80,Lehigh,72
2018,Columbia,87,Longwood,77
2018,Emerson,43,Dartmouth,78
2018,"S. Carolina St.",54,Yale,86
2018,"Loyola (Md.)",52,Fairfield,64
2018,Liberty,79,"Wake Forest",66
2018,Hardin-Simmons,56,"Sam Houston St.",72
2018,Franciscan,0,"Youngstown St.",0
2018,Maine,44,"Texas Tech",83
2018,Lipscomb,64,Alabama,86
2018,UMKC,51,"Kansas St.",72
2018,"New Hampshire",60,Texas,78
2018,"Little Rock",62,Memphis,70
2018,Delaware,53,Bradley,61
2018,"Arlington Baptist",67,"Houston Baptist",108
2018,"Green Bay",65,"Northern Ill.",85
2018,"Georgia State",75,Rice,54
2018,"Louisiana Coll.",58,Louisiana,113
2018,"Coastal Caro.",60,"Lamar University",66
2018,"Alabama State",63,"South Dakota St.",94
2018,"Silver Lake",53,"Chicago State",101
2018,Denver,62,Colorado,89
2018,"San Diego State",68,"Arizona St.",90
2018,Winthrop,76,"Colorado State",80
2018,Omaha,71,"New Mexico",103
2018,"Utah Valley",84,"Idaho State",71
2018,"West Coast Baptist",45,"Weber State",110
2018,"Cal Lutheran",82,Pepperdine,107
2018,"San Fran. St.",70,"Long Beach St.",95
2018,Chapman,52,"UC Irvine",91
2018,"Notre Dame de Namur",53,"Sacramento St.",74
2018,"Walla Walla",52,Portland,89
2018,"Eastern Wash.",67,Stanford,61
2018,Willamette,60,"Portland State",111
2018,Bucknell,81,"North Carolina",93
2018,Niagara,81,Minnesota,107
2018,Creighton,92,Northwestern,88
2018,"CSU Fullerton",57,"St. Mary's (Cal.)",76
2018,Indiana,68,"Seton Hall",84
2018,"Central Ark.",101,UCLA,106
2018,American,64,"West Virginia",98
2018,"Middle Ga. St.",80,"Savannah State",114
2018,"Southern Univ.",58,"Missouri State",86
2018,Montana,57,"Penn St.",70
2018,"UC Santa Barb.",62,Pittsburgh,70
2018,Radford,73,"East Carolina",66
2018,"Mt. St. Mary's",68,Georgetown,102
2018,Gardner-Webb,65,UCF,68
2018,"Jacksonville St.",76,Buffalo,81
2018,"N.C. Wesleyan",48,UNC-Greensboro,82
2018,Hiwassee,57,"Western Caro.",76
2018,"Delaware State",71,IPFW,85
2018,FDU-Florham,49,"Fairleigh D'son",111
2018,"St. Francis (B'klyn)",79,Manhattan,80
2018,BYU,65,Princeton,56
2018,Hampton,76,"William & Mary",83
2018,Navy,45,Penn,66
2018,Hartford,53,Rider,89
2018,Citadel,73,"N.C. A&T;",92
2018,Marist,73,Mass.-Lowell,76
2018,"Columbia Int'l",58,"Charleston So.",98
2018,"Ball State",69,Oklahoma,108
2018,"N'western St.",35,SMU,81
2018,"South Florida",75,Stetson,72
2018,UTSA,79,"Texas State",78
2018,Wartburg,43,UNI,72
2018,"Kentucky Wesleyan",53,"Western Ky.",83
2018,"Oakland City",50,"Austin Peay",109
2018,UTRGV,82,"Texas A&M-C.C.;",75
2018,"St. Edward's",66,"Steph. F. Austin",89
2018,Valparaiso,94,SIUE,69
2018,"Eastern Illinois",54,"Western Illinois",56
2018,"N.C. Central",57,Tennessee-Martin,74
2018,Butler,65,Maryland,79
2018,"Seattle U",59,"Washington St.",75
2018,"South Dakota",71,TCU,76
2018,"Miss. Valley St.",47,"Utah State",83
2018,"UC Riverside",64,"Loyola Marym't",76
2018,"Robert Morris",53,"San Diego",65
2018,"Prairie View A&M;",63,UNLV,98
2018,Nevada,93,"Santa Clara",63
2018,"Holy Names",47,"Cal Poly",76
2018,Montana-Western,81,"Montana St.",109
2018,"UC Davis",62,Pacific,58
2018,"CSU Bakersfield",59,Arizona,91
2018,"North Florida",68,Florida,108
2018,"Florida A&M;",59,"Miami (Fla.)",90
2018,"Coppin State",54,Cincinnati,97
2018,"Chicago State",66,"Notre Dame",105
2018,Xavier,80,Wisconsin,70
2018,"Edward Waters",59,"Florida Atlantic",91
2018,"Illinois State",69,"South Carolina",65
2018,Auburn,83,"Indiana State",64
2018,"Old Dominion",65,Temple,76
2018,"Boise State",58,UTEP,56
2018,Clemson,81,Ohio,76
2018,"Iowa State",104,"Appalachian St.",98
2018,Nebraska,56,"St. John's ",79
2018,"Southern Miss",47,Michigan,61
2018,Presbyterian,68,"NC State",86
