,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds
49,fanduel,Kansas St.,37.92067307692308,-44.497282608695656,0.296875,-17.48118114471435,-115,West Virginia,37.92067307692308,0.703125,17.48118114471435,-104
46,fanduel,Baylor,29.743589743589745,29.743589743589745,0.7333333333333333,-19.46728515625,-130,Utah,-44.533333333333346,0.26666666666666666,19.46728515625,108
42,fanduel,Florida,28.858131487889267,-12.391460468760203,0.7370242214532872,0.75,-530,Georgia,28.858131487889267,0.2629757785467128,-0.75,390
43,fanduel,Butler,27.801857585139317,-18.097382493667315,0.6006191950464397,7.81854248046875,-275,DePaul,27.801857585139317,0.3993808049535604,-7.81854248046875,220
15,draftkings,Milwaukee,27.058823529411775,27.058823529411775,0.7058823529411765,-18.0,-125,Northern Ky.,-39.70588235294117,0.29411764705882354,18.0,105
14,fanduel,Milwaukee,26.610644257703093,26.610644257703093,0.7058823529411765,-18.0,-126,Northern Ky.,-39.70588235294117,0.29411764705882354,18.0,105
34,draftkings,Michigan St.,26.291762379692354,26.291762379692354,0.889273356401384,1.120351791381836,-238,Rutgers,-67.33564013840831,0.11072664359861592,-1.120351791381836,195
54,fanduel,Notre Dame,25.320512820512832,25.320512820512832,0.7083333333333334,-3.0,-130,Virginia,-39.33333333333333,0.2916666666666667,3.0,108
33,fanduel,Michigan St.,25.224207329990815,25.224207329990815,0.889273356401384,1.120351791381836,-245,Rutgers,-67.00346020761245,0.11072664359861592,-1.120351791381836,198
37,fanduel,Kentucky,24.793882694690083,24.793882694690083,0.7716262975778547,-23.25,-162,Vanderbilt,-46.56055363321799,0.22837370242214533,23.25,134
39,fanduel,Texas A&M,24.621212121212125,24.621212121212125,0.6527777777777778,2.125,-110,Texas,-33.71212121212122,0.3472222222222222,-2.125,-110
3,draftkings,Central Conn. St.,20.194688754162755,20.194688754162755,0.8535564853556485,10.739679336547852,-245,Le Moyne,-56.06694560669456,0.14644351464435146,-10.739679336547852,200
38,draftkings,Kentucky,20.030757400999626,20.030757400999626,0.7716262975778547,-23.25,-180,Vanderbilt,-42.90657439446367,0.22837370242214533,23.25,150
29,fanduel,Pittsburgh,19.84900912236553,19.84900912236553,0.8788927335640139,-24.0,-275,Syracuse,-61.24567474048443,0.12110726643598616,24.0,220
2,fanduel,Central Conn. St.,19.497907949790793,19.497907949790793,0.8535564853556485,10.739679336547852,-250,Le Moyne,-55.77405857740586,0.14644351464435146,-10.739679336547852,202
