,year,team,nickname
252,2025,Florida Atlantic,Owls
253,2025,Fla. Southern,Moccasins
254,2025,Flagler,Saints
255,2025,Florida,Gators
256,2025,Florida A&M,Rattlers
257,2025,Florida St.,Seminoles
258,2025,Florida Tech,Panthers
259,2025,Fontbonne,Griffins
260,2025,Fordham,Rams
261,2025,Fort Hays St.,Tigers
262,2025,Fort Lewis,Skyhawks
263,2025,Fort Valley St.,Wildcats
264,2025,Framingham St.,Rams
265,2025,Francis Marion,Patriots
266,2025,Franciscan,Barons
267,2025,Frank. & Marsh.,Diplomats
268,2025,Franklin,Grizzlies
269,2025,Franklin Pierce,Ravens
270,2025,Fredonia,Blue Devils
271,2025,Fresno Pacific,Sunbirds
272,2025,Fresno St.,Bulldogs
273,2025,Frostburg St.,Bobcats
274,2025,Furman,Paladins
275,2025,Georgia Southern,Eagles
276,2025,Ga. Southwestern,Hurricanes
277,2025,Gallaudet,Bison
278,2025,Gannon,Golden Knights
279,2025,Gardner-Webb,Runnin' Bulldogs
280,2025,Geneva,Golden Tornadoes
281,2025,George Fox,Bruins
282,2025,George Mason,Patriots
283,2025,George Washington,Revolutionaries
284,2025,Georgetown,Hoyas
285,2025,Georgia,Bulldogs
286,2025,Georgia College,Bobcats
287,2025,Georgia St.,Panthers
288,2025,Georgia Tech,Yellow Jackets
289,2025,Georgian Court,Lions
290,2025,Gettysburg,Bullets
291,2025,Glenville St.,Pioneers
292,2025,Goldey-Beacom,Lightning
293,2025,Gonzaga,Bulldogs
294,2025,Gordon,Fighting Scots
295,2025,Goucher,Gophers
296,2025,Grambling,Tigers
297,2025,Grand Canyon,Lopes
298,2025,Grand Valley St.,Lakers
299,2025,Green Bay,Phoenix
300,2025,Greensboro,Greensboro Pride
301,2025,Greenville,Panthers
302,2025,Grinnell,Pioneers
303,2025,Grove City,Wolverines
304,2025,Augusta University ,Jaguars
305,2025,Guilford,Quakers
306,2025,Gust. Adolphus,Golden Gusties
307,2025,Gwynedd-Mercy,Griffins
308,2025,Hamilton,Continentals
309,2025,Hamline,Pipers
310,2025,Hampden-Sydney,Tigers
311,2025,Hampton,Pirates
312,2025,Hanover,Panthers
313,2025,Hardin-Simmons,Cowboys
314,2025,Harding,Bisons
315,2025,Hartford,Hawks
316,2025,Hartwick,Hawks
317,2025,Harvard,Crimson
318,2025,Haverford,Fords
319,2025,Hawaii,Rainbow Warriors
320,2025,Hawaii Hilo,Vulcans
321,2025,Hawaii Pacific,Sharks
322,2025,Heidelberg,The Student Prince
323,2025,Henderson St.,Reddies
324,2025,Hendrix,Warriors
325,2025,High Point,Panthers
326,2025,Hilbert,Hawks
327,2025,Hillsdale,Chargers
328,2025,Hiram,Terriers
329,2025,Hobart,Statesmen
330,2025,Hofstra,Pride
331,2025,Holy Cross,Crusaders
332,2025,Holy Family,Tigers
333,2025,Hood,Blazers
334,2025,Hope,Flying Dutchmen
335,2025,Houghton,Highlanders
336,2025,Houston,Cougars
337,2025,Houston Christian,Huskies
338,2025,Howard,Bison
339,2025,Howard Payne,Yellow Jackets
340,2025,Cal Poly Humboldt ,Lumberjacks
341,2025,Hunter,Hawks
342,2025,Huntingdon,Hawks
343,2025,Husson,Eagles
344,2025,Idaho,Vandals
345,2025,Idaho St.,Bengals
346,2025,Illinois Tech,Scarlet Hawks
347,2025,Ill.-Chicago,Flames
348,2025,Ill.- Springfield,Prairie Stars
349,2025,Ill. Wesleyan,Titans
350,2025,Illinois,Fighting Illini
351,2025,Illinois Col.,Blueboys
352,2025,Illinois St.,Redbirds
353,2025,Immaculata,Mighty Macs
354,2025,Indiana,Hoosiers
355,2025,Indiana (PA),Crimson Hawks
356,2025,Indiana St.,Sycamores
357,2025,Indianapolis,Greyhounds
358,2025,Iona,Gaels
359,2025,Iowa,Hawkeyes
360,2025,Iowa St.,Cyclones
361,2025,Purdue University Fort Wayne,Mastodons
362,2025,Ithaca,Bombers
363,2025,IU Indy,Jaguars
364,2025,Jackson St.,Tigers
365,2025,Jacksonville,Dolphins
366,2025,Jacksonville St.,Gamecocks
367,2025,James Madison,Dukes
368,2025,Jessup University,Warriors
369,2025,John Carroll,Blue Streaks
370,2025,John Jay,Bloodhounds
371,2025,Johns Hopkins,Blue Jays
372,2025,Johnson C. Smith,Golden Bulls
373,2025,Johnson St.,Badgers
374,2025,Johnson & Wales (RI),Wildcats
375,2025,Juniata,Eagles
376,2025,Kalamazoo,Hornets
377,2025,Kansas,Jayhawks
378,2025,Kansas St.,Wildcats
379,2025,Kean,Cougars
380,2025,Keene St.,Owls
381,2025,Kennesaw St.,Owls
382,2025,Kent St.,Golden Flashes
383,2025,Kentucky,Wildcats
384,2025,Kentucky St.,Thorobreds
385,2025,Kenyon,Owls
386,2025,Keuka,Wolves
387,2025,Keystone,Giants
388,2025,King (TN),Tornado
389,2025,King's (PA),Monarchs
390,2025,Knox,Prairie Fire
391,2025,Kutztown,Golden Bears
392,2025,Ky. Wesleyan,Panthers
393,2025,La.-Lafayette,Ragin' Cajuns
394,2025,La.-Monroe,Warhawks
