,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
920,Coppin St.,55,George Mason,93,George Mason,49.25,-38,11.25
921,Detroit Mercy,70,Ball St.,59,Ball St.,30.5,11,41.5
922,Columbia,80,LIU,72,LIU,30.25,8,38.25
923,Elon,75,NIU,48,NIU,24.0,27,51.0
924,Iona,43,West Virginia,86,West Virginia,57.873186111450195,-43,14.873186111450195
925,Austin Peay,58,Morehead St.,63,Morehead St.,31.698020935058594,-5,26.698020935058594
926,South Dakota,80,Western Mich.,76,Western Mich.,32.748046875,4,36.748046875
927,Abilene Christian,78,Kennesaw St.,84,Kennesaw St.,38.63145065307617,-6,32.63145065307617
928,Purdue Fort Wayne,89,Penn St.,102,Penn St.,55.418678283691406,-13,42.418678283691406
929,Maine,66,Richmond,70,Richmond,37.78327751159668,-4,33.78327751159668
930,Oglethorpe,48,Furman,124,Furman,45.0,-76,-31.0
931,Morgan St.,83,N.C. A&T,86,N.C. A&T,29.35625457763672,-3,26.35625457763672
932,Saint Elizabeth,51,Saint Peter's,116,Saint Peter's,35.25,-65,-29.75
933,Lafayette,72,Rhode Island,86,Rhode Island,46.292715072631836,-14,32.292715072631836
934,Valley Forge,53,Lehigh,100,Lehigh,33.427001953125,-47,-13.572998046875
935,Central St. (OH),52,Central Mich.,86,Central Mich.,40.123046875,-34,6.123046875
936,Endicott,64,New Hampshire,78,New Hampshire,22.375,-14,8.375
937,Mansfield,54,St. Bonaventure,76,St. Bonaventure,51.0,-22,29.0
938,Penn St.-Schuylkill,57,Saint Francis,96,Saint Francis,29.625,-39,-9.375
939,FDU,70,Army West Point,84,Army West Point,32.4375,-14,18.4375
940,Towson,70,Nicholls,64,Nicholls,38.32915496826172,6,44.32915496826172
941,Southern Miss.,76,South Dakota St.,101,South Dakota St.,44.0,-25,19.0
942,Merrimack,63,Rutgers,74,Rutgers,46.2373046875,-11,35.2373046875
943,Little Rock,71,Tulsa,57,Tulsa,32.15625,14,46.15625
944,Southern U.,54,Texas A&M,71,Texas A&M,57.0,-17,40.0
945,UMES,61,Murray St.,79,Murray St.,41.0,-18,23.0
946,Jackson St.,62,Western Ky.,79,Western Ky.,46.306640625,-17,29.306640625
947,Mount St. Mary's,51,Georgetown,79,Georgetown,49.0,-28,21.0
948,Illinois,87,Alabama,100,Alabama,62.875,-13,49.875
949,UC Davis,75,Grand Canyon,68,Grand Canyon,44.5,7,51.5
950,Long Beach St.,41,Gonzaga,84,Gonzaga,60.60603332519531,-43,17.606033325195312
951,Cal Poly,89,Arizona St.,93,Arizona St.,52.98872375488281,-4,48.98872375488281
952,Norfolk St.,63,Stanford,70,Stanford,48.0,-7,41.0
953,San Jose St.,68,Southern California,82,Southern California,49.875,-14,35.875
954,UTEP,79,UC Santa Barbara,76,UC Santa Barbara,41.879302978515625,3,44.879302978515625
955,Pepperdine,59,UNLV,80,UNLV,46.0,-21,25.0
956,Stanislaus St.,38,Saint Mary's (CA),78,Saint Mary's (CA),51.30638122558594,-40,11.306381225585938
957,Prairie View,83,Fresno St.,94,Fresno St.,33.3125,-11,22.3125
958,Northern Colo.,79,California Baptist,68,California Baptist,39.3125,11,50.3125
959,Idaho St.,70,UCLA,84,UCLA,58.53903007507324,-14,44.53903007507324
960,James Madison,99,UIC,81,UIC,44.3359375,18,62.3359375
961,Ohio,81,Middle Tenn.,83,Middle Tenn.,45.306640625,-2,43.306640625
962,Miami (FL),69,Drake,80,Drake,48.5859375,-11,37.5859375
963,La Salle,67,UC San Diego,72,UC San Diego,53.801963806152344,-5,48.801963806152344
964,South Fla.,74,Portland,68,Portland,30.397907257080078,6,36.39790725708008
965,Oklahoma St.,78,Fla. Atlantic,86,Fla. Atlantic,43.4375,-8,35.4375
966,East Carolina,78,Jacksonville St.,86,Jacksonville St.,43.70654296875,-8,35.70654296875
967,Seton Hall,69,VCU,66,VCU,52.91224479675293,3,55.91224479675293
968,Youngstown St.,72,Monmouth,62,Monmouth,32.5859375,10,42.5859375
969,Bradley,82,Texas St.,68,Texas St.,42.94099426269531,14,56.94099426269531
970,Toledo,103,Stetson,78,Stetson,28.75,25,53.75
971,Robert Morris,86,Cornell,76,Cornell,44.1365966796875,10,54.1365966796875
972,UNC Greensboro,58,Indiana,69,Indiana,53.68782424926758,-11,42.68782424926758
973,Niagara,73,Kent St.,76,Kent St.,45.10503387451172,-3,42.10503387451172
974,Edward Waters,59,North Florida,108,North Florida,34.5,-49,-14.5
975,Baylor,99,St. John's (NY),98,St. John's (NY),57.9224910736084,1,58.9224910736084
976,Mercer,72,South Carolina,84,South Carolina,46.75,-12,34.75
977,Radford,51,Clemson,79,Clemson,52.875,-28,24.875
978,Bryant,66,Stonehill,67,Stonehill,29.0,-1,28.0
979,Eastern Mich.,68,Oakland,64,Oakland,38.0,4,42.0
980,NJIT,64,Bucknell,81,Bucknell,36.25688362121582,-17,19.25688362121582
981,Syracuse,66,Texas,70,Texas,58.5625,-4,54.5625
982,Johnson (TN),52,Chattanooga,72,Chattanooga,40.09202003479004,-20,20.09202003479004
983,Vanderbilt,73,Nevada,71,Nevada,50.19791030883789,2,52.19791030883789
984,Trinity (TX),78,Sam Houston,105,Sam Houston,38.53125,-27,11.53125
985,Southeast Mo. St.,77,Central Ark.,73,Central Ark.,26.526161193847656,4,30.526161193847656
986,Presbyterian,58,SFA,55,SFA,35.5,3,38.5
987,Oral Roberts,68,Ole Miss,100,Ole Miss,59.0,-32,27.0
988,Central Conn. St.,54,Sacred Heart,67,Sacred Heart,34.2373046875,-13,21.2373046875
989,Monmouth (IL),46,Western Ill.,73,Western Ill.,26.802143096923828,-27,-0.19785690307617188
990,Lindenwood,64,Valparaiso,77,Valparaiso,38.071725845336914,-13,25.071725845336914
991,UT Martin,77,A&M-Corpus Christi,81,A&M-Corpus Christi,41.939515113830566,-4,37.939515113830566
992,Minn.-Crookston,60,North Dakota St.,67,North Dakota St.,43.44704055786133,-7,36.44704055786133
993,East Texas A&M,56,Oklahoma,84,Oklahoma,51.25,-28,23.25
994,Texas Wesleyan,66,North Texas,73,North Texas,48.544921875,-7,41.544921875
995,Princeton,62,Wright St.,80,Wright St.,37.999267578125,-18,19.999267578125
996,Tarleton St.,49,Michigan,72,Michigan,63.375,-23,40.375
997,Grambling,58,New Mexico,80,New Mexico,49.0,-22,27.0
998,Texas Tech,77,Saint Joseph's,78,Saint Joseph's,47.125,-1,46.125
999,Virginia,42,Tennessee,64,Tennessee,67.0,-22,45.0
1000,Eastern Wash.,81,Washington St.,96,Washington St.,48.521002769470215,-15,33.521002769470215
1001,Air Force,69,California,78,California,43.625,-9,34.625
1002,Oregon,78,Oregon St.,75,Oregon St.,50.53125,3,53.53125
1003,Memphis,68,San Francisco,64,San Francisco,49.37135601043701,4,53.37135601043701
1004,VTSU Randolph,58,FDU,107,FDU,30.0,-49,-19.0
1005,La Salle,83,UIC,96,UIC,44.3359375,-13,31.3359375
1006,CSU Bakersfield,54,FGCU,74,FGCU,40.40625,-20,20.40625
1007,Ohio,85,Portland,73,Portland,30.397907257080078,12,42.39790725708008
1008,Drake,75,Fla. Atlantic,63,Fla. Atlantic,43.4375,12,55.4375
1009,Longwood,89,UAB,81,UAB,44.797149658203125,8,52.797149658203125
1010,Northeastern,60,FIU,58,FIU,33.515625,2,35.515625
1011,P.R.-Mayaguez,50,UAlbany,93,UAlbany,32.86102294921875,-43,-10.13897705078125
1012,East Carolina,71,Stetson,64,Stetson,28.75,7,35.75
1013,Miami (FL),74,Oklahoma St.,80,Oklahoma St.,39.90119171142578,-6,33.90119171142578
1014,Middle Tenn.,95,South Fla.,88,South Fla.,38.23003387451172,7,45.23003387451172
1015,LSU,63,Pittsburgh,74,Pittsburgh,54.0,-11,43.0
1016,Illinois St.,68,McNeese,76,McNeese,49.0,-8,41.0
1017,Presbyterian,67,Youngstown St.,42,Youngstown St.,37.60734558105469,25,62.60734558105469
1018,James Madison,67,UC San Diego,73,UC San Diego,53.801963806152344,-6,47.801963806152344
1019,Kansas City,60,American,64,American,39.29530048370361,-4,35.29530048370361
1020,St. Thomas (MN),73,Wofford,81,Wofford,40.73723888397217,-8,32.73723888397217
1021,UCF,70,Wisconsin,86,Wisconsin,60.2333984375,-16,44.2333984375
1022,IU Indy,57,Coastal Carolina,71,Coastal Carolina,35.0,-14,21.0
1023,Bradley,77,Wright St.,74,Wright St.,37.999267578125,3,40.999267578125
1024,Trinity Baptist,68,Florida A&M,110,Florida A&M,25.0,-42,-17.0
1025,Seton Hall,60,Vanderbilt,76,Vanderbilt,56.339805603027344,-16,40.339805603027344
1026,Temple,69,Florida St.,78,Florida St.,51.0,-9,42.0
1027,Louisiana,69,Liberty,89,Liberty,48.06564807891846,-20,28.065648078918457
1028,Utah Tech,53,Utah,84,Utah,54.91191482543945,-31,23.911914825439453
1029,Toledo,82,Jacksonville St.,80,Jacksonville St.,43.70654296875,2,45.70654296875
1030,UT Martin,53,Le Moyne,65,Le Moyne,23.8787841796875,-12,11.8787841796875
1031,Campbell,60,Ohio St.,104,Ohio St.,57.4454345703125,-44,13.4454345703125
1032,Monmouth,67,SFA,72,SFA,35.5,-5,30.5
1033,Lamar University,72,Akron,79,Akron,43.50798988342285,-7,36.50798988342285
1034,Jackson St.,59,Kentucky,108,Kentucky,64.28585815429688,-49,15.285858154296875
1035,Drexel,73,Fordham,71,Fordham,35.90625,2,37.90625
1036,William & Mary,61,NC State,84,NC State,48.26335144042969,-23,25.263351440429688
1037,Morgan St.,73,Buffalo,82,Buffalo,29.031980514526367,-9,20.031980514526367
1038,Southern Ill.,68,Florida,93,Florida,60.25,-25,35.25
1039,Colgate,67,Harvard,78,Harvard,35.31565475463867,-11,24.315654754638672
1040,Winthrop,61,Louisville,76,Louisville,59.125,-15,44.125
1041,Chicago St.,61,Indiana St.,97,Indiana St.,37.97263717651367,-36,1.9726371765136719
1042,Virginia,55,St. John's (NY),80,St. John's (NY),57.9224910736084,-25,32.9224910736084
1043,Syracuse,74,Texas Tech,79,Texas Tech,59.66176128387451,-5,54.66176128387451
1044,USC Upstate,76,ETSU,87,ETSU,40.62460803985596,-11,29.624608039855957
1045,Merrimack,39,Butler,78,Butler,48.984375,-39,9.984375
1046,VMI,66,Davidson,93,Davidson,44.52786827087402,-27,17.527868270874023
1047,N.C. Central,79,Georgia St.,93,Georgia St.,32.5,-14,18.5
1048,Army West Point,79,Manhattan,80,Manhattan,32.11865234375,-1,31.11865234375
1049,UNC Asheville,72,Southeast Mo. St.,64,Southeast Mo. St.,32.300872802734375,8,40.300872802734375
1050,VCU,61,Nevada,64,Nevada,50.19791030883789,-3,47.19791030883789
1051,Texas St.,83,Princeton,80,Princeton,41.56772041320801,3,44.56772041320801
1052,New Orleans,93,Tulane,87,Tulane,39.40625,6,45.40625
1053,Pacific,56,Missouri,91,Missouri,57.5,-35,22.5
1054,ULM,65,Northwestern St.,63,Northwestern St.,37.26023864746094,2,39.26023864746094
1055,Elon,84,Notre Dame,77,Notre Dame,49.0,7,56.0
1056,Utah St.,77,Iowa,69,Iowa,56.85523223876953,8,64.85523223876953
1057,Hofstra,44,Houston,80,Houston,70.46302032470703,-36,34.46302032470703
1058,George Washington,71,Kansas St.,83,Kansas St.,45.033705711364746,-12,33.033705711364746
1059,Green Bay,81,Evansville,98,Evansville,31.3125,-17,14.3125
1060,Portland St.,74,Milwaukee,91,Milwaukee,40.72235107421875,-17,23.72235107421875
1061,South Dakota,83,Southern Ind.,92,Southern Ind.,28.287002563476562,-9,19.287002563476562
1062,Lane,60,Arkansas St.,103,Arkansas St.,44.92603874206543,-43,1.9260387420654297
1063,Rice,61,Houston Christian,58,Houston Christian,31.0,3,34.0
1064,South Carolina St.,82,Alabama A&M,70,Alabama A&M,20.82607936859131,12,32.82607936859131
1065,Nebraska,74,Creighton,63,Creighton,55.25,11,66.25
1066,Pepperdine,50,Northwestern,68,Northwestern,51.85548400878906,-18,33.85548400878906
1067,UIW,74,Northern Ariz.,75,Northern Ariz.,34.625,-1,33.625
1068,Utah Valley,77,Murray St.,75,Murray St.,41.0,2,43.0
1069,Mississippi St.,84,SMU,79,SMU,54.0,5,59.0
1070,Southeastern La.,61,Wyoming,64,Wyoming,39.19597625732422,-3,36.19597625732422
1071,Omaha,67,Alabama St.,85,Alabama St.,30.0400390625,-18,12.0400390625
1072,Little Rock,67,Arkansas,79,Arkansas,50.15625,-12,38.15625
1073,Norfolk St.,73,Grand Canyon,91,Grand Canyon,44.5,-18,26.5
1074,Texas,67,Saint Joseph's,58,Saint Joseph's,47.125,9,56.125
1075,UC Riverside,77,Colorado St.,75,Colorado St.,45.25,2,47.25
1076,UC Irvine,93,Weber St.,87,Weber St.,35.35505676269531,6,41.35505676269531
1077,Tennessee,77,Baylor,62,Baylor,60.4375,15,75.4375
1078,North Dakota,77,LMU (CA),73,LMU (CA),37.18318176269531,4,41.18318176269531
1079,Cal St. Fullerton,47,UCLA,80,UCLA,58.53903007507324,-33,25.539030075073242
1080,Southern Utah,72,San Diego,67,San Diego,29.0,5,34.0
1081,Northwest (WA),52,Seattle U,80,Seattle U,37.345672607421875,-28,9.345672607421875
1082,Alcorn,60,Washington,77,Washington,48.8575439453125,-17,31.8575439453125
1083,Wichita St.,88,Saint Louis,63,Saint Louis,40.56315994262695,25,65.56315994262695
1084,Duke,69,Arizona,55,Arizona,61.180580139160156,14,75.18058013916016
1085,North Carolina,87,Hawaii,69,Hawaii,40.7294921875,18,58.7294921875
1086,Georgia,69,Marquette,80,Marquette,61.0,-11,50.0
1087,La Salle,92,Stetson,77,Stetson,28.75,15,43.75
1088,FIU,76,CSU Bakersfield,73,CSU Bakersfield,36.894351959228516,3,39.894351959228516
1089,West Ga.,54,Ga. Southern,64,Ga. Southern,35.568359375,-10,25.568359375
1090,Boston U.,75,UMBC,71,UMBC,35.610870361328125,4,39.610870361328125
1091,Delaware,71,Vermont,75,Vermont,35.376458168029785,-4,31.376458168029785
1092,Saint Francis,65,Georgetown,82,Georgetown,49.0,-17,32.0
1093,Presbyterian,71,Monmouth,61,Monmouth,32.5859375,10,42.5859375
1094,Marshall,45,Purdue,80,Purdue,58.23876953125,-35,23.23876953125
1095,LIU,79,Charlotte,76,Charlotte,31.0,3,34.0
1096,Northeastern,59,FGCU,55,FGCU,40.40625,4,44.40625
1097,Brown,83,Canisius,76,Canisius,20.404296875,7,27.404296875
1098,UAlbany,67,Kansas City,65,Kansas City,37.070289611816406,2,39.070289611816406
1099,St. Thomas (MN),91,Portland St.,65,Portland St.,36.0,26,62.0
1100,Kentucky St.,59,Northern Ky.,85,Northern Ky.,37.904457092285156,-26,11.904457092285156
1101,East Carolina,72,UIC,55,UIC,44.3359375,17,61.3359375
1102,Quinnipiac,70,UMass Lowell,80,UMass Lowell,40.33708572387695,-10,30.337085723876953
1103,South Carolina St.,72,IU Indy,62,IU Indy,30.29658031463623,10,40.29658031463623
1104,Cincinnati,81,Georgia Tech,58,Georgia Tech,42.76759338378906,23,65.76759338378906
1105,New Hampshire,49,Marist,54,Marist,39.359375,-5,34.359375
1106,Furman,67,Charleston So.,46,Charleston So.,29.0,21,50.0
1107,Ferrum,55,George Mason,100,George Mason,49.25,-45,4.25
1108,Fairfield,66,Yale,91,Yale,51.86102294921875,-25,26.86102294921875
1109,Bowling Green,68,Bellarmine,80,Bellarmine,24.193302154541016,-12,12.193302154541016
1110,UAB,83,Illinois St.,84,Illinois St.,43.1328125,-1,42.1328125
1111,James Madison,71,Jacksonville St.,65,Jacksonville St.,43.70654296875,6,49.70654296875
1112,Delaware St.,66,Mount St. Mary's,76,Mount St. Mary's,37.4375,-10,27.4375
1113,Omaha,84,Akron,92,Akron,43.50798988342285,-8,35.50798988342285
1114,Wofford,74,Milwaukee,76,Milwaukee,40.72235107421875,-2,38.72235107421875
1115,Detroit Mercy,57,Wake Forest,67,Wake Forest,44.25,-10,34.25
1116,Springfield,46,Wagner,81,Wagner,26.8203125,-35,-8.1796875
1117,UMES,40,Illinois,87,Illinois,65.25,-47,18.25
1118,American,73,P.R.-Bayamon,56,P.R.-Bayamon,,17,
1119,Le Moyne,61,A&M-Corpus Christi,82,A&M-Corpus Christi,41.939515113830566,-21,20.939515113830566
1120,Fresno St.,72,Long Beach St.,69,Long Beach St.,26.210067749023438,3,29.210067749023438
1121,ULM,62,North Ala.,74,North Ala.,43.0,-12,31.0
1122,Massachusetts,80,Temple,87,Temple,43.40625,-7,36.40625
1123,NIU,52,DePaul,98,DePaul,45.95645523071289,-46,-0.043544769287109375
1124,Idaho,67,Southern Utah,82,Southern Utah,37.0,-15,22.0
1125,Coastal Carolina,70,Alabama A&M,77,Alabama A&M,20.82607936859131,-7,13.826079368591309
1126,Toledo,45,UC San Diego,80,UC San Diego,53.801963806152344,-35,18.801963806152344
1127,Louisiana,74,George Washington,83,George Washington,40.943687438964844,-9,31.943687438964844
1128,Tulsa,53,Loyola Chicago,89,Loyola Chicago,38.7574462890625,-36,2.7574462890625
1129,USC Upstate,74,Queens (NC),98,Queens (NC),37.0,-24,13.0
1130,Lamar University,75,Alabama St.,77,Alabama St.,30.0400390625,-2,28.0400390625
1131,Rider,57,Bucknell,53,Bucknell,36.25688362121582,4,40.25688362121582
1132,Stony Brook,63,Columbia,82,Columbia,39.875816345214844,-19,20.875816345214844
1133,Kent St.,68,Cleveland St.,52,Cleveland St.,33.3495569229126,16,49.3495569229126
1134,Youngstown St.,57,SFA,64,SFA,35.5,-7,28.5
1135,St. Ambrose,49,SIUE,83,SIUE,35.90677261352539,-34,1.9067726135253906
1136,New Mexico St.,65,UNLV,72,UNLV,46.0,-7,39.0
1137,Eastern Wash.,68,California Baptist,79,California Baptist,39.3125,-11,28.3125
1138,Cal Poly,66,Saint Mary's (CA),80,Saint Mary's (CA),51.30638122558594,-14,37.30638122558594
1139,Prairie View,98,Northern Colo.,114,Northern Colo.,39.30857753753662,-16,23.30857753753662
1140,Mississippi Val.,43,BYU,87,BYU,54.12101936340332,-44,10.12101936340332
1141,Stanford,71,Santa Clara,69,Santa Clara,48.5950927734375,2,50.5950927734375
1142,Portland,67,Princeton,94,Princeton,41.56772041320801,-27,14.567720413208008
1143,Hampton,69,Boise St.,83,Boise St.,50.53125,-14,36.53125
1144,St. John's (NY),63,Georgia,66,Georgia,52.610870361328125,-3,49.610870361328125
1145,American,81,UAlbany,77,UAlbany,32.86102294921875,4,36.86102294921875
1146,Boston U.,69,Howard,62,Howard,33.201011657714844,7,40.201011657714844
1147,Wofford,74,Portland St.,79,Portland St.,36.0,-5,31.0
1148,Holy Cross,55,Maine,80,Maine,37.13427734375,-25,12.13427734375
1149,Col. of Charleston,53,Rhode Island,91,Rhode Island,46.292715072631836,-38,8.292715072631836
1150,Omaha,65,Lamar University,59,Lamar University,31.11251449584961,6,37.11251449584961
1151,CSU Bakersfield,68,Northeastern,60,Northeastern,37.03664207458496,8,45.03664207458496
1152,Miami (FL),70,VCU,77,VCU,52.91224479675293,-7,45.91224479675293
1153,William & Mary,76,App State,79,App State,41.0,-3,38.0
1154,Binghamton,56,Central Conn. St.,64,Central Conn. St.,39.494476318359375,-8,31.494476318359375
1155,Rutgers,77,Kennesaw St.,79,Kennesaw St.,38.63145065307617,-2,36.63145065307617
1156,Vermont,66,Fairfield,67,Fairfield,31.90625,-1,30.90625
1157,Rosemont,45,Lafayette,91,Lafayette,33.494476318359375,-46,-12.505523681640625
1158,Villanova,75,Maryland,76,Maryland,57.875,-1,56.875
1159,South Fla.,73,Wright St.,72,Wright St.,37.999267578125,1,38.999267578125
1160,South Dakota St.,71,Duquesne,60,Duquesne,40.58595371246338,11,51.58595371246338
1161,Eastern Ill.,53,Valparaiso,81,Valparaiso,38.071725845336914,-28,10.071725845336914
1162,UNC Asheville,83,Central Ark.,92,Central Ark.,26.526161193847656,-9,17.526161193847656
1163,Bryant,70,St. Bonaventure,85,St. Bonaventure,51.0,-15,36.0
1164,St. Thomas (MN),65,Milwaukee,69,Milwaukee,40.72235107421875,-4,36.72235107421875
1165,FIU,59,FGCU,60,FGCU,40.40625,-1,39.40625
1166,Alabama St.,78,Akron,97,Akron,43.50798988342285,-19,24.50798988342285
1167,North Ala.,58,Northwestern St.,71,Northwestern St.,37.26023864746094,-13,24.260238647460938
1168,LSU,109,UCF,102,UCF,47.77423095703125,7,54.77423095703125
1169,Oklahoma St.,78,Nevada,90,Nevada,50.19791030883789,-12,38.19791030883789
1170,Florida St.,92,Massachusetts,59,Massachusetts,39.0,33,72.0
1171,Kansas City,88,P.R.-Rio Piedras,55,P.R.-Rio Piedras,,33,
1172,Sacramento St.,77,California,83,California,43.625,-6,37.625
1173,Mercyhurst,48,Air Force,82,Air Force,33.0,-34,-1.0
1174,CSUN,89,Utah Tech,79,Utah Tech,31.5,10,41.5
1175,Towson,64,Morgan St.,60,Morgan St.,25.521320343017578,4,29.521320343017578
1176,Campbell,53,Evansville,66,Evansville,31.3125,-13,18.3125
1177,Missouri St.,71,High Point,61,High Point,44.0,10,54.0
1178,Queens (NC),67,ETSU,82,ETSU,40.62460803985596,-15,25.624608039855957
1179,Ark.-Pine Bluff,63,Missouri,112,Missouri,57.5,-49,8.5
1180,Jackson St.,53,Lipscomb,77,Lipscomb,47.21303939819336,-24,23.21303939819336
1181,Alcorn,52,UC Riverside,69,UC Riverside,41.044342041015625,-17,24.044342041015625
1182,Middle Tenn.,69,Bradley,80,Bradley,46.970703125,-11,35.970703125
1183,Longwood,69,McNeese,84,McNeese,49.0,-15,34.0
1184,Wisconsin,81,Pittsburgh,75,Pittsburgh,54.0,6,60.0
1185,Yale,94,Delaware,100,Delaware,37.121315002441406,-6,31.121315002441406
1186,Fla. Atlantic,61,Seton Hall,63,Seton Hall,42.18145751953125,-2,40.18145751953125
1187,Denver,73,Montana,83,Montana,36.04423522949219,-10,26.044235229492188
1188,Grambling,69,Southern California,80,Southern California,49.875,-11,38.875
1189,Old Dominion,52,Boston College,82,Boston College,33.0,-30,3.0
1190,Southern Miss.,59,Montana St.,79,Montana St.,37.69123840332031,-20,17.691238403320312
1191,Idaho,61,San Diego,68,San Diego,29.0,-7,22.0
1192,Texas Southern,68,New Mexico,99,New Mexico,49.0,-31,18.0
1193,Ohio,65,Texas St.,74,Texas St.,42.94099426269531,-9,33.94099426269531
1194,Liberty,67,Kansas St.,65,Kansas St.,45.033705711364746,2,47.033705711364746
1195,Drake,81,Vanderbilt,70,Vanderbilt,56.339805603027344,11,67.33980560302734
1196,Radford,63,Chicago St.,48,Chicago St.,20.447998046875,15,35.447998046875
1197,Siena,58,Miami (OH),70,Miami (OH),40.250061988830566,-12,28.250061988830566
1198,Hampton,64,Duquesne,59,Duquesne,40.58595371246338,5,45.58595371246338
1199,Howard,77,UMBC,95,UMBC,35.610870361328125,-18,17.610870361328125
1200,Champion Chris.,58,Southern U.,121,Southern U.,37.886268615722656,-63,-25.113731384277344
1201,Eastern Ky.,61,Ball St.,63,Ball St.,30.5,-2,28.5
1202,Drexel,81,Purdue Fort Wayne,87,Purdue Fort Wayne,44.45025634765625,-6,38.45025634765625
1203,UAB,98,Louisiana,86,Louisiana,32.498046875,12,44.498046875
1204,Mercer,90,Jacksonville,89,Jacksonville,41.28623962402344,1,42.28623962402344
1205,Boise St.,83,South Dakota St.,82,South Dakota St.,44.0,1,45.0
1206,Memphis,99,UConn,97,UConn,60.875,2,62.875
1207,Illinois St.,64,George Washington,72,George Washington,40.943687438964844,-8,32.943687438964844
1208,Southern Ill.,79,Louisiana Tech,85,Louisiana Tech,43.89247131347656,-6,37.89247131347656
1209,IU Indy,88,Alabama A&M,83,Alabama A&M,20.82607936859131,5,25.82607936859131
1210,Penn St.,85,Fordham,66,Fordham,35.90625,19,54.90625
1211,Denver,60,CSUN,89,CSUN,41.53125,-29,12.53125
1212,Colorado,56,Michigan St.,72,Michigan St.,59.0,-16,43.0
1213,High Point,73,Old Dominion,67,Old Dominion,29.83685874938965,6,35.83685874938965
1214,Longwood,64,Kansas St.,80,Kansas St.,45.033705711364746,-16,29.033705711364746
1215,Michigan,75,Virginia Tech,63,Virginia Tech,44.0,12,56.0
1216,Merrimack,74,UMass Lowell,81,UMass Lowell,40.33708572387695,-7,33.33708572387695
1217,Florida Tech,57,Richmond,67,Richmond,37.78327751159668,-10,27.78327751159668
1218,LIU,65,Winthrop,87,Winthrop,39.75,-22,17.75
1219,Clemson,70,San Francisco,55,San Francisco,49.37135601043701,15,64.37135601043701
1220,Washington Col.,43,Navy,94,Navy,33.2579345703125,-51,-17.7420654296875
1221,Green Bay,69,Ohio St.,102,Ohio St.,57.4454345703125,-33,24.4454345703125
1222,New Hampshire,57,Columbia,83,Columbia,39.875816345214844,-26,13.875816345214844
1223,Cornell,84,Iona,68,Iona,33.48098945617676,16,49.48098945617676
1224,East Texas A&M,65,Stonehill,67,Stonehill,29.0,-2,27.0
1225,Tennessee St.,78,Chattanooga,85,Chattanooga,40.09202003479004,-7,33.09202003479004
1226,CarolinaU,36,N.C. Central,91,N.C. Central,31.5078125,-55,-23.4921875
1227,N.C. A&T,81,Buffalo,82,Buffalo,29.031980514526367,-1,28.031980514526367
1228,Le Moyne,77,UTRGV,97,UTRGV,39.515625,-20,19.515625
1229,Mississippi Col.,35,Nicholls,79,Nicholls,38.32915496826172,-44,-5.670845031738281
1230,Missouri St.,74,Boston College,76,Boston College,33.0,-2,31.0
1231,Utah Tech,66,Montana,69,Montana,36.04423522949219,-3,33.04423522949219
1232,UMES,35,Arkansas,109,Arkansas,50.15625,-74,-23.84375
1233,UIW,63,South Alabama,84,South Alabama,44.60335159301758,-21,23.603351593017578
1234,Indiana St.,77,Southern Ind.,87,Southern Ind.,28.287002563476562,-10,18.287002563476562
1235,Central Mich.,65,Minnesota,68,Minnesota,43.25,-3,40.25
1236,Eastern Mich.,74,Houston Christian,73,Houston Christian,31.0,1,32.0
1237,Quinnipiac,67,Saint Louis,81,Saint Louis,40.56315994262695,-14,26.563159942626953
1238,Randall,50,South Dakota,112,South Dakota,35.0,-62,-27.0
1239,UTSA,72,Troy,86,Troy,44.91935348510742,-14,30.919353485107422
1240,McNeese,58,Liberty,62,Liberty,48.06564807891846,-4,44.06564807891846
1241,Oregon St.,55,North Texas,58,North Texas,48.544921875,-3,45.544921875
1242,Xavier,75,South Carolina,66,South Carolina,46.75,9,55.75
1243,Rogers St.,69,Oral Roberts,68,Oral Roberts,27.897214889526367,1,28.897214889526367
1244,UTEP,65,San Jose St.,71,San Jose St.,41.194061279296875,-6,35.194061279296875
1245,Auburn,83,Iowa St.,81,Iowa St.,67.490234375,2,69.490234375
1246,Embry-Riddle (AZ),46,Idaho St.,97,Idaho St.,41.890663146972656,-51,-9.109336853027344
1247,Justice Col.,45,Weber St.,93,Weber St.,35.35505676269531,-48,-12.644943237304688
1248,Abilene Christian,82,Southern Miss.,74,Southern Miss.,34.387901306152344,8,42.387901306152344
1249,Little Rock,34,Illinois,92,Illinois,65.25,-58,7.25
1250,Norfolk St.,76,UC Davis,55,UC Davis,37.3125,21,58.3125
1251,UNC Greensboro,71,Long Beach St.,48,Long Beach St.,26.210067749023438,23,49.21006774902344
1252,Dayton,90,North Carolina,92,North Carolina,55.800048828125,-2,53.800048828125
1253,Drexel,83,Chicago St.,71,Chicago St.,20.447998046875,12,32.447998046875
1254,Jacksonville,75,Siena,64,Siena,33.2109375,11,44.2109375
1255,Duquesne,67,Old Dominion,54,Old Dominion,29.83685874938965,13,42.83685874938965
1256,Eastern Ky.,77,Southern Ill.,72,Southern Ill.,35.197919845581055,5,40.197919845581055
1257,Tulsa,63,Detroit Mercy,44,Detroit Mercy,31.45989990234375,19,50.45989990234375
1258,Southeastern La.,69,Gardner-Webb,73,Gardner-Webb,36.95703125,-4,32.95703125
