,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
133,2024-11-04,UT Martin,67,Illinois St.,65,Illinois St.,125.353515625,2,151.353515625
134,2024-11-04,Central Mich.,74,South Alabama,70,South Alabama,126.39453125,4,154.39453125
135,2024-11-04,The Citadel,60,Boston College,69,Boston College,115.421875,-9,110.421875
136,2024-11-04,Dubuque,54,UNI,96,UNI,130.91796875,-42,92.91796875
137,2024-11-04,Southern Ind.,78,DePaul,80,DePaul,119.263671875,-2,121.263671875
138,2024-11-04,Holy Cross,61,Wisconsin,85,Wisconsin,154.90234375,-24,134.90234375
139,2024-11-04,Kent St.,70,Louisiana,66,Louisiana,110.75390625,4,138.75390625
140,2024-11-04,Akron,75,Arkansas St.,80,Arkansas St.,133.923828125,-5,132.923828125
141,2024-11-04,Florida A&M,59,TCU,105,TCU,133.59375,-46,91.59375
142,2024-11-04,Fairfield,58,Rhode Island,96,Rhode Island,125.34765625,-38,91.34765625
143,2024-11-04,Delaware St.,60,Virginia Tech,83,Virginia Tech,124.484375,-23,105.484375
144,2024-11-04,Cleveland St.,53,Michigan,101,Michigan,154.65625,-48,110.65625
145,2024-11-04,Bowling Green,68,Southern Miss.,77,Southern Miss.,111.0,-9,106.0
146,2024-11-04,East Texas A&M,67,Iowa,89,Iowa,137.5,-22,119.5
147,2024-11-04,Lafayette,63,Villanova,75,Villanova,134.673828125,-12,126.673828125
148,2024-11-04,Chicago St.,72,Loyola Chicago,79,Loyola Chicago,123.75,-7,120.75
149,2024-11-04,Fisk,66,Tennessee St.,96,Tennessee St.,108.810546875,-30,82.810546875
150,2024-11-04,Dallas,51,SFA,85,SFA,112.53125,-34,82.53125
151,2024-11-04,Howard Payne,74,Abilene Christian,107,Abilene Christian,107.1875,-33,78.1875
152,2024-11-04,Westminster (MO),42,SIUE,95,SIUE,114.34375,-53,65.34375
153,2024-11-04,Tarleton St.,62,SMU,96,SMU,143.515625,-34,113.515625
154,2024-11-04,William Carey,53,Southeastern La.,91,Southeastern La.,117.875,-38,83.875
155,2024-11-04,Western N.M.,68,Southern Utah,96,Southern Utah,103.1328125,-28,79.1328125
156,2024-11-04,Stony Brook,62,Marquette,102,Marquette,146.7548828125,-40,110.7548828125
157,2024-11-04,South Fla.,83,Florida,98,Florida,156.0,-15,145.0
158,2024-11-04,Champion Chris.,61,ULM,111,ULM,94.7265625,-50,48.7265625
159,2024-11-04,LIU,60,Ole Miss,90,Ole Miss,146.625,-30,120.625
160,2024-11-04,Northwest Indian,35,Weber St.,118,Weber St.,101.083984375,-83,22.083984375
161,2024-11-04,Eastern Wash.,56,Colorado,76,Colorado,126.75,-20,110.75
162,2024-11-04,N.M. Highlands,57,New Mexico St.,93,New Mexico St.,116.9052734375,-36,84.9052734375
163,2024-11-04,Nicholls,84,New Mexico,91,New Mexico,143.5,-7,140.5
164,2024-11-04,Hawaii Hilo,61,Montana,92,Montana,120.927734375,-31,93.927734375
165,2024-11-04,Southern U.,79,South Dakota,93,South Dakota,114.4228515625,-14,104.4228515625
166,2024-11-04,Sul Ross St.,55,UTEP,102,UTEP,129.15625,-47,86.15625
167,2024-11-04,Elon,76,North Carolina,90,North Carolina,137.375,-14,127.375
168,2024-11-04,LIFE Pacific,56,LMU (CA),99,LMU (CA),120.0,-43,81.0
169,2024-11-04,Northwest (WA),60,Idaho,94,Idaho,110.625,-34,80.625
170,2024-11-04,Lindenwood,60,Oklahoma,93,Oklahoma,135.5625,-33,106.5625
171,2024-11-04,Alcorn,59,Utah,100,Utah,133.25,-41,96.25
172,2024-11-04,Cal St. Fullerton,79,Grand Canyon,89,Grand Canyon,127.3125,-10,121.3125
173,2024-11-04,Green Bay,76,Oklahoma St.,89,Oklahoma St.,128.8125,-13,119.8125
174,2024-11-04,UNC Asheville,54,Alabama,110,Alabama,162.99609375,-56,110.99609375
175,2024-11-04,North Central (MN),71,St. Thomas (MN),96,St. Thomas (MN),122.375,-25,101.375
176,2024-11-04,North Ala.,73,Air Force,57,Air Force,105.9765625,16,145.9765625
177,2024-11-04,North Dakota,56,Colorado St.,82,Colorado St.,132.4375,-26,110.4375
178,2024-11-04,Concordia-St. Paul,85,Wyoming,108,Wyoming,120.4375,-23,101.4375
179,2024-11-04,Ohio St.,80,Texas,72,Texas,141.1865234375,8,173.1865234375
180,2024-11-04,Colorado Col.,55,Northern Colo.,75,Northern Colo.,120.59375,-20,104.59375
181,2024-11-04,San Fran. St.,47,UC Santa Barbara,96,UC Santa Barbara,123.0556640625,-49,78.0556640625
182,2024-11-04,Utah Tech,57,Oregon St.,80,Oregon St.,133.240234375,-23,114.240234375
