year,team1,team1_score,team2,team2_score
2022,Dartmouth,57,"Boston College",73
2022,"Coppin St.",45,"Loyola Chicago",103
2022,"Saint Francis (PA)",72,"George Washington",75
2022,"Central Mich.",68,Missouri,78
2022,Elon,61,Florida,74
2022,Hofstra,75,Houston,83
2022,"Alabama St.",74,"Western Ky.",79
2022,"Abilene Christian",56,Utah,70
2022,"Jacksonville St.",57,"Wichita St.",60
2022,"Central Ark.",61,"Saint Louis",96
2022,"North Florida",74,"Texas Tech",89
2022,"Jackson St.",47,Illinois,71
2022,"Kansas City",56,Minnesota,71
2022,"Tennessee St.",73,"Alabama A&M",82
2022,"Western Ill.",75,Nebraska,74
2022,"Eastern Ill.",56,Northwestern,80
2022,"Tennessee Tech",65,Memphis,89
2022,"UT Arlington",45,"Oklahoma St.",88
2022,UMES,67,"Saint Joseph's",69
2022,"Northwestern St.",59,Oklahoma,77
2022,Columbia,67,Fordham,77
2022,SIUE,77,Marquette,88
2022,CSUN,49,"Southern California",89
2022,"UC Irvine",51,"New Mexico St.",62
2022,Grambling,53,"Grand Canyon",74
2022,Navy,66,Virginia,58
2022,"Cal St. Fullerton",77,"Santa Clara",84
2022,"Louisiana Tech",64,Alabama,93
2022,"Houston Baptist",48,Texas,92
2022,"Southern U.",60,Louisville,72
2022,"Dixie St.",63,Gonzaga,97
2022,"Utah Valley",56,"Boise St.",76
2022,Bradley,65,"South Dakota St.",81
2022,"Oral Roberts",80,"Colorado St.",109
2022,Kentucky,71,Duke,79
2022,"UC Davis",72,"Utah St.",69
2022,"Montana St.",90,Colorado,94
2022,Longwood,73,Iowa,106
2022,"Cleveland St.",59,BYU,69
2022,"Tarleton St.",50,Stanford,62
2022,Chattanooga,75,"LMU (CA)",64
2022,"Prairie View",68,"Saint Mary's (CA)",87
2022,NIU,71,Washington,64
2022,"Eastern Wash.",76,Nevada,91
2022,"UC Riverside",53,"San Diego St.",66
2022,LIU,64,"San Francisco",98
2022,"Portland St.",64,"Oregon St.",73
2022,"Northern Ariz.",52,Arizona,81
2022,"CSU Bakersfield",58,UCLA,95
2022,Buffalo,76,Michigan,88
2022,Lehigh,70,Rutgers,73
2022,"Robert Morris",59,UCF,69
2022,"William & Mary",59,"Wake Forest",77
2022,UMES,49,Temple,72
2022,"Fairleigh Dickinson",49,"Seton Hall",93
2022,"Florida A&M",57,"Kansas St.",67
2022,"Northwestern St.",75,Tulsa,82
2022,"North Ala.",49,"Mississippi St.",75
2022,"North Florida",46,"Texas A&M",64
2022,"Alabama St.",72,Vanderbilt,91
2022,"Youngstown St.",59,"Penn St.",75
2022,Penn,70,"Florida St.",105
2022,"Fla. Atlantic",92,"New Mexico",99
2022,"Long Beach St.",95,Idaho,89
2022,"Coppin St.",72,DePaul,97
2022,"Detroit Mercy",47,Wyoming,85
2022,"Northern Colo.",67,Pacific,65
2022,Gardner-Webb,58,UNLV,64
2022,Alcorn,66,"Seattle U",69
2022,"Air Force",53,"South Dakota",59
2022,Vermont,71,UNI,57
2022,"George Washington",64,Maryland,71
2022,"Sacred Heart",64,Providence,92
2022,"South Carolina St.",74,"Col. of Charleston",106
2022,Merrimack,61,NJIT,54
2022,IUPUI,40,Evansville,60
2022,McNeese,61,TCU,77
2022,"UC Riverside",66,"Arizona St.",65
2022,"Kennesaw St.",44,Creighton,51
2022,"Cal St. Fullerton",76,"San Jose St.",78
2022,"Prairie View",76,"San Francisco",92
2022,"Northern Ariz.",62,Washington,73
