,year,team1,team1_score,team2,team2_score
282,2024,CSU Bakersfield,59,Southern California,85
283,2024,CSUN,76,Idaho,73
284,2024,Cal Poly,76,Denver,97
285,2024,Saint Francis (PA),52,San Francisco,84
286,2024,Portland St.,82,UC Santa Barbara,76
287,2024,New Mexico,58,Saint Mary's (CA),72
288,2024,Bethesda (CA),72,San Jose St.,117
289,2024,Northern Ky.,67,Washington,75
290,2024,Air Force,82,LIU,67
291,2024,Central Conn. St.,70,Quinnipiac,74
292,2024,Liberty,71,Charlotte,59
293,2024,Biblical Stud. (TX),55,McNeese,96
294,2024,Kennesaw St.,67,Florida St.,94
295,2024,UMass Lowell,81,Dartmouth,48
296,2024,Col. of Charleston,72,Duquesne,90
297,2024,St. Joseph's (L.I.),50,Stony Brook,91
298,2024,Penn,61,Saint Joseph's,69
299,2024,Jacksonville,56,Xavier,79
300,2024,Le Moyne,57,Villanova,83
301,2024,Youngstown St.,62,Michigan,92
302,2024,Chattanooga,81,Louisville,71
303,2024,Austin Peay,45,George Mason,67
304,2024,UCF,72,Miami (FL),88
305,2024,Arizona,78,Duke,73
306,2024,Princeton,74,Hofstra,67
307,2024,Morehead St.,57,Purdue,87
308,2024,N.C. A&T,78,UNC Greensboro,94
309,2024,Texas A&M,73,Ohio St.,66
310,2024,Ave Maria,71,FGCU,80
311,2024,Virginia,73,Florida,70
312,2024,Detroit Mercy,61,Cincinnati,93
313,2024,Maryland,61,Davidson,64
314,2024,Binghamton,60,Pittsburgh,89
315,2024,Marshall,62,Radford,66
316,2024,Boston College,75,The Citadel,71
317,2024,Sacred Heart,81,Iona,88
318,2024,Monmouth,73,West Virginia,65
319,2024,Samford,65,VCU,75
320,2024,Abilene Christian,64,NC State,84
321,2024,Wilberforce,75,Eastern Ky.,133
322,2024,USC Upstate,67,Vanderbilt,74
323,2024,Trinity (FL),46,Bethune-Cookman,113
324,2024,Southern Miss.,54,Akron,72
325,2024,Tex. A&M-Commerce,61,Kentucky,81
326,2024,Wake Forest,77,Georgia,80
327,2024,Belmont,76,Furman,99
328,2024,Boston U.,45,Rutgers,69
329,2024,Troy,80,Oregon St.,81
330,2024,UTSA,76,Minnesota,102
331,2024,Hendrix,39,Central Ark.,82
332,2024,Lehigh,65,Penn St.,74
333,2024,Manhattan,61,Kansas,99
334,2024,Oakland,53,Illinois,64
335,2024,Alabama St.,67,Iowa,98
336,2024,UTRGV,79,South Dakota,100
337,2024,Nicholls,68,LSU,66
338,2024,Eastern Wash.,64,Ole Miss,75
339,2024,Harvard,89,Rice,76
340,2024,Mid-Amer. Christian,69,Oral Roberts,74
341,2024,Indiana St.,80,Alabama,102
342,2024,Bellarmine,75,Kansas St.,83
343,2024,Queens (NC),68,Southern Ill.,91
344,2024,Mississippi Val.,43,Oklahoma,82
345,2024,Grambling,63,Colorado,95
346,2024,Tennessee Tech,72,Murray St.,78
347,2024,Gardner-Webb,68,Arkansas,86
348,2024,Southeastern La.,71,Auburn,86
349,2024,Dayton,66,Northwestern,71
350,2024,Southeast Mo. St.,56,Butler,91
351,2024,Rider,65,Marquette,95
352,2024,Temple,75,Navy,68
353,2024,Little Rock,71,UIC,86
354,2024,Idaho St.,53,St. Thomas (MN),54
355,2024,Delaware St.,59,Texas,86
356,2024,Memphis,70,Missouri,55
357,2024,IUPUI,66,Valparaiso,56
358,2024,Wright St.,77,Colorado St.,105
359,2024,Sacramento St.,73,Stanford,91
360,2024,Tennessee,80,Wisconsin,70
361,2024,Montana,61,Oregon,75
362,2024,San Diego St.,65,BYU,74
363,2024,Yale,71,Gonzaga,86
364,2024,Clemson,77,UAB,76
365,2024,Virginia Tech,77,South Carolina,79
366,2024,Prairie View,65,Washington St.,83
367,2024,UC Riverside,53,Utah,82
368,2024,Jackson St.,66,California Baptist,80
369,2024,Pacific,87,California,79
370,2024,Lafayette,50,UCLA,68
371,2024,Texas St.,75,Miami (OH),65
372,2024,Loyola Maryland,77,Brown,75
373,2024,ULM,74,Central Mich.,64
374,2024,Stonehill,67,UConn,107
375,2024,Ga. Southern,60,Eastern Mich.,70
376,2024,High Point,98,Wofford,99
377,2024,Arkansas St.,75,Bowling Green,81
378,2024,Georgia St.,77,Western Mich.,70
379,2024,William & Mary,89,George Washington,95
380,2024,Cornell,78,Fordham,73
381,2024,A&M-Corpus Christi,50,Houston,82
382,2024,South Alabama,70,Buffalo,56
383,2024,Campbell,63,East Carolina,77
384,2024,UNCW,83,UNC Asheville,66
385,2024,Western Caro.,71,Notre Dame,61
386,2024,Old Dominion,68,Ball St.,73
