,year,team1,team1_score,team2,team2_score
228,2025,West Ga.,62,Georgia Tech,85
229,2025,St. Andrews,54,App State,108
230,2025,Oral Roberts,57,Minnesota,80
231,2025,SIUE,61,Indiana,80
232,2025,ULM,60,LSU,95
233,2025,East Texas A&M,83,South Dakota,91
234,2025,Vermont,43,Auburn,94
235,2025,Lipscomb,60,Arkansas,76
236,2025,Champion Chris.,57,Ark.-Pine Bluff,99
237,2025,Earlham,61,Eastern Ill.,97
238,2025,Western Ill.,64,Pepperdine,77
239,2025,Oakland,43,Boise St.,87
240,2025,Seattle U,86,Eastern Wash.,93
241,2025,UTRGV,86,Creighton,99
242,2025,Alcorn,46,Utah St.,101
243,2025,UC San Diego,58,San Diego St.,63
244,2025,Lewis & Clark,70,Portland,83
245,2025,Rider,68,San Diego,67
246,2025,Ky. Christian,61,UT Martin,114
247,2025,Point U.,58,North Ala.,94
248,2025,Bethesda (CA),53,CSU Bakersfield,122
249,2025,SUNY Oneonta,63,Binghamton,82
250,2025,Robert Morris,77,Delaware,81
251,2025,Oakwood,78,Alabama A&M,121
252,2025,Eureka,48,Indiana St.,93
253,2025,Charleston So.,66,North Florida,90
254,2025,Davenport,46,Western Mich.,86
255,2025,UHSP,30,Lindenwood,98
256,2025,Stony Brook,73,Central Mich.,72
257,2025,Virginia-Lynchburg,54,Mercer,125
258,2025,Erskine,56,The Citadel,86
259,2025,UMES,84,Penn,85
260,2025,WPI,47,Quinnipiac,71
261,2025,Purchase,72,FDU,112
262,2025,MUW,49,Mississippi Val.,66
263,2025,Holy Cross (IN),37,NIU,105
264,2025,N.C. A&T,64,Wake Forest,80
265,2025,Southern Miss.,84,UAB,98
266,2025,Southern U.,74,Iowa,89
267,2025,Milwaukee,68,UNI,87
268,2025,Montana St.,67,Wisconsin,79
269,2025,Texas-Dallas,65,Louisiana,82
270,2025,Prairie View,59,DePaul,92
271,2025,Omaha,79,Stetson,76
272,2025,Jacksonville,60,Florida,81
273,2025,Detroit Mercy,65,Loyola Chicago,87
274,2025,Niagara,60,Michigan St.,96
275,2025,Bryan,74,Tennessee Tech,89
276,2025,Florida A&M,73,SMU,102
277,2025,Bucknell,75,Southern Ind.,69
278,2025,Illinois St.,77,North Dakota St.,68
279,2025,Biblical Stud. (TX),57,McNeese,111
280,2025,Jacksonville St.,67,Air Force,73
281,2025,Idaho St.,69,Southern California,75
282,2025,Cal Poly,73,California,91
283,2025,Evergreen St.,84,Portland St.,131
284,2025,Chattanooga,74,Saint Mary's (CA),86
285,2025,Central Ark.,63,Utah,98
286,2025,UC Davis,79,Idaho,75
287,2025,Siena Heights,58,Eastern Mich.,83
288,2025,Southwestern (TX),53,UIW,97
289,2025,Gardner-Webb,88,N.C. Central,82
290,2025,Western Colo.,80,Denver,97
291,2025,Cal St. Fullerton,53,Stanford,80
292,2025,Franklin,60,Ball St.,87
293,2025,Army West Point,58,Duke,100
294,2025,Samford,86,Cornell,88
295,2025,Saint Peter's,74,UMass Lowell,81
296,2025,Temple,103,Monmouth,74
297,2025,Penn St.-Wilkes Barre,34,Towson,89
298,2025,Boston College,55,VCU,80
299,2025,IU Indy,80,Xavier,94
300,2025,UMBC,54,Penn St.,103
301,2025,Austin Peay,68,Butler,66
