year,team,conference,logo
2023,"George Mason","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-mason.svg
2023,"George Washington","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-washington.svg
2023,Georgetown,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg
2023,Georgia,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg
2023,"Georgia St.","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg
2023,"Georgia Tech",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg
2023,Gonzaga,WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg
2023,Grambling,SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/grambling.svg
2023,"Grand Canyon",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/grand-canyon.svg
2023,"Green Bay",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/green-bay.svg
2023,Hampton,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg
2023,Hartford,"DI Independent",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hartford.svg
2023,Harvard,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg
2023,Hawaii,"Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hawaii.svg
2023,"High Point","Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg
2023,Hofstra,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg
2023,"Holy Cross",Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/holy-cross.svg
2023,Houston,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
2023,"Houston Christian",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/houston-baptist.svg
2023,Howard,MEAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/howard.svg
2023,Idaho,"Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho.svg
2023,"Idaho St.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho-st.svg
2023,Illinois,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg
2023,"Illinois St.",MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois-st.svg
2023,Indiana,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg
2023,"Indiana St.",MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-st.svg
2023,Iona,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg
2023,Iowa,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg
2023,"Iowa St.","Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa-st.svg
2023,IUPUI,Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iupui.svg
2023,"Jackson St.",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jackson-st.svg
