,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
119,fanduel,Tulane,12.666666666666671,12.666666666666671,0.21666666666666667,12.353515625,420,North Texas,-8.160919540229886,0.7833333333333333,-12.353515625,-580,Tulane Green Wave,North Texas Mean Green
284,fanduel,San Diego St.,12.650717703349294,12.650717703349294,0.5167464114832536,-0.2529296875,118,Colorado St.,-17.642698295033362,0.48325358851674644,0.2529296875,-142,San Diego St Aztecs,Colorado St Rams
147,draftkings,N.C. Central,12.26315789473685,-22.85526315789474,0.3763157894736842,3.984375,105,Howard,12.26315789473685,0.6236842105263158,-3.984375,-125,North Carolina Central Eagles,Howard Bison
15,draftkings,Bucknell,11.85515873015872,-18.214285714285722,0.45436507936507936,1.255859375,-125,Army West Point,11.85515873015872,0.5456349206349206,-1.255859375,105,Bucknell Bison,Army Knights
115,draftkings,Le Moyne,11.683168316831683,-23.2990099009901,0.3584158415841584,6.9609375,114,Mercyhurst,11.683168316831683,0.6415841584158416,-6.9609375,-135,Le Moyne Dolphins,Mercyhurst Lakers
70,draftkings,Yale,11.59344262295081,-13.628710677891004,0.5606557377049181,-2.9296875,-185,Cornell,11.59344262295081,0.43934426229508194,2.9296875,154,Yale Bulldogs,Cornell Big Red
254,fanduel,Grand Canyon,11.584415584415588,-12.111801242236027,0.6125541125541125,-3.0,-230,California Baptist,11.584415584415588,0.3874458874458874,3.0,188,Grand Canyon Antelopes,Cal Baptist Lancers
230,fanduel,Vermont,11.167363709736598,-21.878121878121874,0.39826839826839827,3.5126953125,-104,UAlbany,11.167363709736598,0.6017316017316018,-3.5126953125,-118,Vermont Catamounts,Albany Great Danes
103,draftkings,Winthrop,11.138716356107665,-8.272162619988709,0.7474120082815735,-10.0771484375,-440,USC Upstate,11.138716356107665,0.2525879917184265,10.0771484375,340,Winthrop Eagles,South Carolina Upstate Spartans
290,fanduel,UC San Diego,10.870543936479343,-19.04094600042233,0.42950108459869846,2.55078125,-113,UC Irvine,10.870543936479343,0.5704989154013015,-2.55078125,-106,UC San Diego Tritons,UC Irvine Anteaters
245,draftkings,UTRGV,10.842105263157897,10.842105263157897,0.4263157894736842,4.08203125,160,Lamar University,-12.752192982456137,0.5736842105263158,-4.08203125,-192,UT Rio Grande Valley Vaqueros,Lamar Cardinals
229,draftkings,Vermont,10.31746031746033,-20.34632034632034,0.39826839826839827,3.5126953125,100,UAlbany,10.31746031746033,0.6017316017316018,-3.5126953125,-120,Vermont Catamounts,Albany Great Danes
16,fanduel,Bucknell,10.218253968253954,-17.921146953405028,0.45436507936507936,1.255859375,-124,Army West Point,10.218253968253954,0.5456349206349206,-1.255859375,102,Bucknell Bison,Army Knights
184,draftkings,Wake Forest,10.20793950850662,-14.949812295322026,0.499054820415879,0.1005859375,-142,California,10.20793950850662,0.500945179584121,-0.1005859375,120,Wake Forest Demon Deacons,California Golden Bears
183,fanduel,Wake Forest,10.20793950850662,-15.437933207309392,0.499054820415879,0.1005859375,-144,California,10.20793950850662,0.500945179584121,-0.1005859375,120,Wake Forest Demon Deacons,California Golden Bears
31,fanduel,Troy,10.138095238095225,-17.24824355971898,0.45476190476190476,0.8359375,-122,Miami (OH),10.138095238095225,0.5452380952380952,-0.8359375,102,Troy Trojans,Miami (OH) RedHawks
32,draftkings,Troy,10.138095238095225,-17.24824355971898,0.45476190476190476,0.8359375,-122,Miami (OH),10.138095238095225,0.5452380952380952,-0.8359375,102,Troy Trojans,Miami (OH) RedHawks
282,draftkings,CSU Bakersfield,10.123966942148755,10.123966942148755,0.26859504132231404,9.98681640625,310,UC Riverside,-8.342922899884925,0.731404958677686,-9.98681640625,-395,CSU Bakersfield Roadrunners,UC Riverside Highlanders
283,fanduel,CSU Bakersfield,10.123966942148755,10.123966942148755,0.26859504132231404,9.98681640625,310,UC Riverside,-9.445100354191265,0.731404958677686,-9.98681640625,-420,CSU Bakersfield Roadrunners,UC Riverside Highlanders
273,fanduel,Ole Miss,10.039525691699602,-11.538138087629303,0.6205533596837944,-5.291015625,-235,LSU,10.039525691699602,0.3794466403162055,5.291015625,190,Ole Miss Rebels,LSU Tigers
246,fanduel,UTRGV,9.989473684210516,9.989473684210516,0.4263157894736842,4.08203125,158,Lamar University,-13.36197636949516,0.5736842105263158,-4.08203125,-196,UT Rio Grande Valley Vaqueros,Lamar Cardinals
116,fanduel,Le Moyne,9.340398828615257,-22.582178217821784,0.3584158415841584,6.9609375,116,Mercyhurst,9.340398828615257,0.6415841584158416,-6.9609375,-142,Le Moyne Dolphins,Mercyhurst Lakers
220,draftkings,Illinois St.,9.300567107750467,9.300567107750467,0.3705103969754253,6.60546875,195,UNI,-10.601896713316709,0.6294896030245747,-6.60546875,-238,Illinois St Redbirds,Northern Iowa Panthers
131,fanduel,Florida,9.297520661157023,9.297520661157023,0.23760330578512398,11.4140625,360,Auburn,-7.877066115702483,0.762396694214876,-11.4140625,-480,Florida Gators,Auburn Tigers
132,draftkings,Florida,9.297520661157023,9.297520661157023,0.23760330578512398,11.4140625,360,Auburn,-7.539124318621425,0.762396694214876,-11.4140625,-470,Florida Gators,Auburn Tigers
