year,team1,team1_score,team2,team2_score
2023,"Southern Ill.",61,"Oklahoma St.",60
2023,"Kansas Christian",49,"Tarleton St.",95
2023,"Central Mich.",73,Marquette,97
2023,"Illinois St.",54,"Eastern Ill.",49
2023,Omaha,61,Nebraska,75
2023,"North Dakota St.",59,Kansas,82
2023,"Hannibal-La Grange",58,Lindenwood,85
2023,Radford,76,"Notre Dame",79
2023,"Cleveland St.",58,Cincinnati,69
2023,Bethune-Cookman,49,Indiana,101
2023,"Ark. Baptist",60,"Little Rock",71
2023,"La Verne",55,"Southern Utah",117
2023,"Houston Christian",31,Texas,82
2023,"Walla Walla",48,Idaho,122
2023,"Northern Ariz.",68,"Arizona St.",84
2023,"Colorado Col.",68,Denver,90
2023,"Western Colo.",67,"Weber St.",83
2023,Westcliff,56,"Idaho St.",97
2023,"North Dakota",61,Creighton,96
2023,"Ga. Southern",62,"Santa Clara",78
2023,"Cal Poly",48,"San Francisco",60
2023,Nicholls,68,Wyoming,79
2023,Vermont,53,"Saint Mary's (CA)",79
2023,"UC Riverside",81,"LMU (CA)",79
2023,"Alabama St.",58,"Southern California",96
2023,"Detroit Mercy",66,"Boston College",70
2023,Fairfield,71,"New Hampshire",83
2023,"Johnson (FL)",34,Jacksonville,85
2023,UAB,85,Toledo,93
2023,Delaware,71,"Air Force",75
2023,"Fresno St.",54,"UC Santa Barbara",61
2023,Houston,81,"Saint Joseph's",55
2023,Howard,75,"George Washington",85
2023,"Boston U.",57,UConn,86
2023,Louisiana,75,Harvard,61
2023,"USC Upstate",38,Duke,84
2023,Miami-Hamilton,65,"Stony Brook",86
2023,Hendrix,56,"Central Ark.",107
2023,"Michigan St.",63,Gonzaga,64
2023,Methodist,47,"Coastal Carolina",110
2023,Campbell,67,"NC State",73
2023,"UNC Greensboro",65,"Miami (FL)",79
2023,Longwood,69,"George Mason",83
2023,"Old Dominion",59,Drexel,71
2023,UNI,55,Richmond,68
2023,"Mississippi St.",73,Akron,54
2023,Iona,78,Hofstra,83
2023,Bryant,89,Dartmouth,70
2023,Belmont,74,Furman,89
2023,"Me.-Fort Kent",45,Maine,90
2023,Duquesne,52,Kentucky,77
2023,"Col. of Charleston",86,"North Carolina",102
2023,Allen,55,UNCW,104
2023,"Florida St.",54,UCF,68
2023,"West Virginia",81,Pittsburgh,56
2023,"Fla. Atlantic",67,"Ole Miss",80
2023,"Kennesaw St.",78,Florida,88
2023,SMU,62,Dayton,74
2023,"Southern Miss.",60,Vanderbilt,48
2023,Clemson,58,"South Carolina",60
2023,"St. Francis Brooklyn",54,Minnesota,72
2023,"Austin Peay",44,Purdue,63
2023,Milligan,64,Mercer,118
2023,"Kansas St.",63,California,54
2023,"CSU Bakersfield",44,Utah,72
2023,McNeese,58,Tulane,75
2023,Villanova,64,Temple,68
2023,"Mount St. Mary's",78,"Coppin St.",83
2023,"Bowling Green",87,Oakland,82
2023,Stanford,50,Wisconsin,60
2023,"John Brown",62,"Oral Roberts",95
2023,Montana,64,Xavier,86
2023,Colorado,74,Grambling,83
2023,NIU,46,Northwestern,63
2023,"Norfolk St.",70,Baylor,87
2023,"Chicago St.",61,"St. Thomas (MN)",83
2023,UTSA,55,"A&M-Corpus Christi",75
2023,"Lamar University",66,TCU,77
2023,"Loyola Chicago",70,UIC,63
2023,"N.C. A&T",71,Iowa,112
2023,"Tex. A&M-Commerce",77,"Northern Colo.",80
2023,Liberty,59,Alabama,95
2023,Fordham,48,Arkansas,74
2023,"Abilene Christian",58,"Texas A&M",77
2023,Penn,85,Missouri,92
2023,"South Fla.",59,Auburn,67
2023,"Ark.-Pine Bluff",58,Oklahoma,66
2023,Georgia,71,"Wake Forest",81
2023,Princeton,73,Navy,74
2023,Elon,64,ETSU,77
2023,"South Alabama",74,"New Mexico",80
2023,"Eastern Mich.",83,Michigan,88
2023,Monmouth,42,Virginia,89
2023,Bradley,62,"Utah St.",84
2023,"Southern U.",78,Arizona,95
2023,"Florida A&M",43,"Oregon St.",60
2023,"Kansas City",48,Illinois,86
2023,Yale,74,"Eastern Wash.",60
2023,"Southeastern La.",69,"Colorado St.",80
2023,"Portland St.",91,Portland,98
2023,Pepperdine,71,"Cal St. Fullerton",74
2023,NJIT,43,"California Baptist",59
2023,"Western Ill.",74,DePaul,86
2023,BYU,75,"San Diego St.",82
2023,"UC Irvine",69,Oregon,56
2023,"Long Beach St.",69,UCLA,93
2023,"North Florida",67,Washington,75
2023,"Green Bay",58,Georgetown,92
2023,"Saint Peter's",44,"Seton Hall",80
2023,"South Carolina St.",61,"Tennessee St.",80
2023,"Wright St.",73,Louisville,72
2023,"Cleveland St.",70,Ohio,81
2023,Goshen,44,"Miami (OH)",87
2023,Stonehill,82,"Army West Point",77
2023,SIUE,76,"Purdue Fort Wayne",81
2023,"James Madison",97,Buffalo,62
2023,"UC Clermont",49,"Northern Ky.",89
2023,"Ball St.",71,"Indiana St.",83
2023,"UMass Lowell",65,Rutgers,73
2023,Wagner,69,"La Salle",77
2023,Brevard,46,"UNC Asheville",94
2023,"Champion Chris.",65,"UT Martin",124
2023,"Jackson St.",79,Tulsa,85
2023,Belhaven,38,Samford,90
2023,"Bryn Athyn",43,UMES,90
2023,Wofford,80,"High Point",91
2023,Niagara,50,Bucknell,68
2023,Presbyterian,57,"East Carolina",77
2023,"Texas St.",70,"Rhode Island",66
2023,Alcorn,66,"Wichita St.",57
2023,"Northern Ariz.",69,"Utah Valley",73
2023,"Grand Canyon",46,Nevada,59
2023,"Bethesda (CA)",68,"San Jose St.",90
2023,"Middle Tenn.",68,Winthrop,76
2023,TCNJ,50,Rider,87
2023,Lyon,46,"Southeast Mo. St.",83
2023,"St. Francis (IL)",63,"New Orleans",65
2023,"Camp. Harrodsburg",54,Lipscomb,107
2023,"Kentucky St.",61,"Western Ky.",127
2023,"Arkansas St.",52,LSU,61
2023,UIW,63,UNLV,88
2023,"Dakota St.",64,"South Dakota",82
2023,Lafayette,68,"St. John's (NY)",83
2023,Evansville,65,"Saint Louis",83
2023,Hartford,53,"Saint Francis (PA)",77
2023,MCLA,52,Dartmouth,107
2023,Binghamton,78,Marist,75
2023,"St. Bonaventure",80,Canisius,84
2023,"Cardinal Stritch",38,Milwaukee,112
2023,"Washington St.",61,"Boise St.",71
2023,"Morgan St.",54,VCU,69
2023,"Georgia Tech",59,"Georgia St.",57
2023,"Trinity Baptist",32,"Ga. Southern",53
2023,UAlbany,62,Siena,75
2023,Bellarmine,55,"Morehead St.",62
2023,Regent,60,Hampton,89
2023,"Lindsey Wilson",53,"Murray St.",90
2023,"S'western Adventist",33,UTRGV,115
2023,"Illinois St.",69,"Northwestern St.",67
2023,Northeastern,65,Providence,89
2023,"Southwestern (TX)",61,"UT Arlington",103
2023,"New Mexico St.",64,UTEP,67
2023,"St. Katherine",48,"Southern Utah",91
2023,CSUN,63,"Utah Tech",69
2023,"UC Davis",75,"LMU (CA)",85
2023,"Sacramento St.",65,"UC San Diego",55
2023,"Mississippi Val.",54,Hawaii,72
2023,Gallaudet,56,Howard,108
2023,"Eastern Ky.",69,Cincinnati,87
2023,"N.C. A&T",43,"Iowa St.",80
2023,Quinnipiac,72,"Central Conn. St.",70
2023,Columbia,85,"Sacred Heart",88
2023,"Eastern Ill.",60,"Central Mich.",76
2023,VMI,71,Davidson,75
2023,Harvard,92,Elon,77
2023,Wells,60,Colgate,93
2023,Pacific,91,"North Dakota St.",86
2023,Colorado,78,Tennessee,66
2023,"Ark.-Pine Bluff",47,"Mississippi St.",80
2023,"Arizona St.",66,"Texas Southern",67
2023,Pfeiffer,68,Longwood,100
2023,"St. Francis Brooklyn",48,"St. Thomas (MN)",84
2023,"Oklahoma St.",91,Oakland,62
2023,Idaho,72,Omaha,79
2023,Misericordia,58,Lehigh,97
2023,Towson,80,Penn,74
2023,American,56,"George Mason",73
2023,"Youngstown St.",81,"Notre Dame",88
2023,"Western Mich.",65,Valparaiso,81
2023,"Southeastern La.",76,Wyoming,72
2023,Brescia,45,"Western Caro.",112
2023,"Southern Ill.",53,"Southern Ind.",71
2023,Louisiana,81,ETSU,77
2023,Brown,70,"Loyola Maryland",75
2023,NJIT,64,"San Diego",74
2023,"Alabama St.",62,Pepperdine,91
2023,"UC Merced",71,"San Francisco",88
2023,Manhattan,74,FDU,77
2023,Lindenwood,53,Missouri,82
2023,"Portland St.",71,"Seattle U",83
2023,"Ave Maria",61,FGCU,105
2023,"William & Mary",77,"Virginia Tech",94
2023,"Montana St.",70,"Long Beach St.",57
2023,"Mississippi Val.",51,Yale,80
2023,"North Texas",33,"Saint Mary's (CA)",63
2023,Vermont,85,"Cal St. Fullerton",94
2023,"Eastern Wash.",51,Hawaii,71
2023,CMSV,50,LIU,111
2023,Maine,69,"Boston College",64
2023,Princeton,94,UMBC,64
2023,"Camp. Harrodsburg",46,Bellarmine,86
2023,"Delaware St.",50,Villanova,60
2023,Portland,65,"Kent St.",77
2023,Cornell,80,"Saint Francis (PA)",77
2023,"South Carolina St.",71,Duquesne,96
2023,"Western Ill.",37,UCF,70
2023,Manchester,31,"Purdue Fort Wayne",111
2023,"JWU (Providence)",51,"Boston U.",96
2023,Richmond,90,"Col. of Charleston",92
2023,"George Washington",80,Hofstra,85
2023,Stetson,68,"South Fla.",67
2023,"N.C. Central",63,Liberty,79
2023,"Bridgewater (VA)",46,Radford,97
2023,DePaul,69,Minnesota,53
2023,"Va. Wesleyan",58,"Old Dominion",72
2023,Navy,68,"Coppin St.",75
2023,"Blue Mountain (MS)",60,"North Ala.",100
2023,Brewton-Parker,36,"Kennesaw St.",95
2023,"Tennessee Tech",65,Marshall,91
2023,"Union (NY)",75,UAlbany,87
2023,"Fla. National",57,Bethune-Cookman,71
2023,Neumann,52,Wagner,82
2023,Troy,79,"Florida St.",72
2023,UMES,47,Charlotte,80
2023,"Miami (OH)",70,Georgia,77
2023,"Fla. Atlantic",76,Florida,74
2023,Lafayette,59,"Saint Joseph's",63
2023,"St. Francis (IL)",51,UTRGV,77
2023,"Central Baptist",56,ULM,105
2023,LeTourneau,48,"Sam Houston",84
2023,"Jacksonville St.",60,UIC,67
2023,Milligan,74,"Austin Peay",98
2023,"Louisiana Tech",55,"Texas Tech",64
2023,"Northern Colo.",62,Baylor,95
2023,"Trinity (TX)",73,"A&M-Corpus Christi",91
2023,"Northwestern St.",64,TCU,63
2023,Huston-Tillotson,69,"Lamar University",98
2023,Calvary,54,"Kansas City",113
2023,"Loyola (LA)",62,"Southern Miss.",86
2023,"Little Rock",71,"Central Ark.",82
2023,"Oral Roberts",45,Houston,83
2023,Belmont,75,Lipscomb,77
2023,"Purdue Northwest",73,NIU,99
2023,Wofford,72,Drake,80
2023,IUPUI,58,"Chicago St.",68
2023,Lyon,58,"Arkansas St.",82
2023,"St. Mary's (TX)",59,UTSA,66
2023,"Idaho St.",58,Utah,70
2023,"Champion Chris.",97,"Houston Christian",119
2023,Butler,62,"Penn St.",68
2023,"Weber St.",52,"Colorado St.",77
2023,"Holy Cross",65,Creighton,94
2023,"Sacramento St.",73,Denver,69
2023,Monmouth,65,Illinois,103
2023,"Tex. A&M-Commerce",73,"Air Force",69
2023,"Alabama A&M",76,"Tennessee St.",87
2023,"Bethesda (CA)",67,"Southern Utah",126
2023,"Santa Clara",74,"Utah St.",96
2023,"Eastern Wash.",60,"Mississippi Val.",52
2023,"Norfolk St.",56,UCLA,86
2023,"Utah Tech",67,Washington,78
2023,"Grace Christian (MI)",68,"Youngstown St.",96
2023,Stonehill,76,Providence,100
2023,"App State",61,Louisville,60
2023,Northwestern,75,Georgetown,63
2023,McDaniel,38,"Mount St. Mary's",60
2023,Colgate,80,Syracuse,68
2023,Binghamton,52,Maryland,76
2023,"USC Upstate",70,Clemson,81
2023,"Utah Valley",65,"Wake Forest",68
2023,Dartmouth,72,Quinnipiac,81
2023,Lees-McRae,83,"High Point",100
2023,Morris,66,"The Citadel",109
2023,"Florida A&M",61,"Miami (FL)",87
2023,"James Madison",95,Howard,69
2023,"Queens (NC)",60,"La Salle",72
2023,"Stony Brook",64,"Rhode Island",74
2023,"Bowling Green",71,"Wright St.",80
2023,Penn,64,Drexel,59
2023,"Morehead St.",57,"West Virginia",75
2023,Buffalo,64,UConn,84
2023,"Washington St.",59,"Prairie View",70
2023,Harris-Stowe,53,"UT Martin",96
2023,Bucknell,71,"Saint Peter's",82
2023,UIndy,50,"Western Ky.",68
2023,Mercer,83,"Georgia St.",85
2023,"New Hampshire",61,Fordham,79
2023,Vanderbilt,89,Temple,87
2023,"Central Conn. St.",74,"St. John's (NY)",91
2023,Rice,46,"Middle Tenn.",81
2023,Winthrop,65,Auburn,89
2023,"Morgan St.",59,Akron,65
2023,Kentucky,77,"Michigan St.",86
2023,Alcorn,69,SFA,60
2023,Chattanooga,58,"Ole Miss",70
2023,"Texas Lutheran",47,UIW,84
2023,SIUE,80,Missouri,105
2023,"Oral Roberts",82,"Texas Southern",64
2023,"Benedictine Mesa",49,"Northern Ariz.",105
2023,"New Mexico",84,SMU,63
2023,UNCW,53,Oklahoma,74
2023,Hardin-Simmons,59,"UT Arlington",100
2023,"Eastern Mich.",61,Bradley,89
2023,McMurry,46,"Abilene Christian",104
2023,Pacific,93,"North Dakota",63
2023,Gardner-Webb,66,"North Carolina",72
2023,Marquette,70,Purdue,75
2023,"Sul Ross St.",59,UTEP,99
2023,Fairfield,65,Xavier,78
2023,"St. Bonaventure",62,"South Dakota St.",66
2023,"Green Bay",45,Wisconsin,56
2023,"San Diego St.",74,Stanford,62
2023,"Montana St.",51,Oregon,81
2023,Memphis,84,"Saint Louis",90
2023,FIU,74,"NC State",107
2023,Duke,64,Kansas,69
2023,"William Jessup",54,Nevada,98
2023,"LMU (CA)",64,"UC Irvine",79
2023,Vanguard,80,Pepperdine,94
2023,Alabama,65,"South Alabama",55
2023,California,62,"UC San Diego",64
2023,"Alabama St.",57,"San Jose St.",70
2023,CSUN,55,"California Baptist",62
2023,Vermont,57,"Southern California",59
2023,Dayton,52,UNLV,60
2023,Bushnell,66,"Oregon St.",83
2023,Yale,62,Hawaii,59
2023,"Ark.-Pine Bluff",68,"Kent St.",94
2023,"Sacred Heart",81,"UMass Lowell",90
2023,Michigan,91,Pittsburgh,60
2023,"William & Mary",64,American,71
2023,"Mid-Atlantic Christ.",50,"N.C. Central",109
2023,Ohio,74,"Detroit Mercy",88
2023,Oakland,90,Toledo,112
2023,"Army West Point",96,Siena,94
2023,"Eastern Ill.",43,"Ohio St.",65
2023,"Delaware St.",65,Columbia,70
2023,Hampton,73,"East Carolina",82
2023,Marist,54,Lehigh,64
2023,"Cleveland St.",58,Canisius,57
2023,Averett,34,Radford,79
2023,"Charleston So.",79,Tulane,99
2023,"Southeast Mo. St.",67,Evansville,61
2023,Cincinnati,51,"Northern Ky.",64
2023,"Trinity Baptist",46,Bethune-Cookman,83
2023,"West Va. Wesleyan",56,"Robert Morris",111
2023,FGCU,50,Tennessee,81
2023,Harvard,70,Northeastern,69
2023,Presbyterian,61,UAB,92
2023,Iowa,83,"Seton Hall",67
2023,"Southern Ind.",70,"Notre Dame",82
2023,Valparaiso,74,"Chicago St.",87
2023,"Texas Southern",48,Houston,83
2023,"South Dakota St.",56,Arkansas,71
2023,"Southern U.",54,"Saint Mary's (CA)",72
2023,"Ball St.",71,Omaha,61
2023,VCU,59,"Arizona St.",63
2023,"CSU Bakersfield",52,Idaho,43
2023,"Missouri St.",64,BYU,66
2023,Gonzaga,74,Texas,93
2023,"Evergreen St.",40,"Portland St.",113
2023,"San Francisco",67,"Fresno St.",60
2023,Furman,68,"Penn St.",73
2023,Colorado,63,Massachusetts,66
2023,"Old Dominion",71,"Virginia Tech",75
2023,"Murray St.",88,"Texas A&M",79
2023,"Colorado St.",85,"South Carolina",53
2023,Merrimack,54,Troy,73
2023,"Kansas City",53,"Kansas St.",69
2023,Nebraska,50,"St. John's (NY)",70
2023,"Saint Francis (PA)",67,Butler,95
2023,Hartford,66,"Boston U.",102
2023,UAlbany,79,"Saint Joseph's",99
2023,"Little Rock",76,ETSU,84
2023,"Stony Brook",53,Brown,64
2023,"Norfolk St.",64,Monmouth,59
