,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
288,2023-11-09,Bethesda (CA),72,San Jose St.,117,San Jose St.,13.703125,-45,-26.296875
289,2023-11-09,Northern Ky.,67,Washington,75,Washington,30.8125,-8,27.8125
290,2023-11-10,Air Force,82,LIU,67,LIU,0.875,15,20.875
291,2023-11-10,Central Conn. St.,70,Quinnipiac,74,Quinnipiac,12.4375,-4,13.4375
292,2023-11-10,Liberty,71,Charlotte,59,Charlotte,21.75,12,38.75
293,2023-11-10,Biblical Stud. (TX),55,McNeese,96,McNeese,26.15625,-41,-9.84375
294,2023-11-10,Kennesaw St.,67,Florida St.,94,Florida St.,20.265625,-27,-1.734375
295,2023-11-10,UMass Lowell,81,Dartmouth,48,Dartmouth,7.375,33,45.375
296,2023-11-10,Col. of Charleston,72,Duquesne,90,Duquesne,22.75,-18,9.75
297,2023-11-10,St. Joseph's (L.I.),50,Stony Brook,91,Stony Brook,14.2578125,-41,-21.7421875
298,2023-11-10,Penn,61,Saint Joseph's,69,Saint Joseph's,27.9375,-8,24.9375
299,2023-11-10,Jacksonville,56,Xavier,79,Xavier,29.53125,-23,11.53125
300,2023-11-10,Le Moyne,57,Villanova,83,Villanova,37.0,-26,16.0
301,2023-11-10,Youngstown St.,62,Michigan,92,Michigan,24.6875,-30,-0.3125
302,2023-11-10,Chattanooga,81,Louisville,71,Louisville,13.015625,10,28.015625
303,2023-11-10,Austin Peay,45,George Mason,67,George Mason,24.78125,-22,7.78125
304,2023-11-10,UCF,72,Miami (FL),88,Miami (FL),32.2109375,-16,21.2109375
305,2023-11-10,Arizona,78,Duke,73,Duke,42.96875,5,52.96875
306,2023-11-10,Princeton,74,Hofstra,67,Hofstra,25.625,7,37.625
307,2023-11-10,Morehead St.,57,Purdue,87,Purdue,41.328125,-30,16.328125
308,2023-11-10,N.C. A&T,78,UNC Greensboro,94,UNC Greensboro,16.875,-16,5.875
309,2023-11-10,Texas A&M,73,Ohio St.,66,Ohio St.,29.0,7,41.0
310,2023-11-10,Ave Maria,71,FGCU,80,FGCU,11.25,-9,7.25
311,2023-11-10,Virginia,73,Florida,70,Florida,33.0,3,41.0
312,2023-11-10,Detroit Mercy,61,Cincinnati,93,Cincinnati,31.0,-32,4.0
313,2023-11-10,Maryland,61,Davidson,64,Davidson,23.0,-3,25.0
314,2023-11-10,Binghamton,60,Pittsburgh,89,Pittsburgh,35.9375,-29,11.9375
315,2023-11-10,Marshall,62,Radford,66,Radford,21.0,-4,22.0
316,2023-11-10,Boston College,75,The Citadel,71,The Citadel,18.625,4,27.625
317,2023-11-10,Sacred Heart,81,Iona,88,Iona,17.0,-7,15.0
318,2023-11-10,Monmouth,73,West Virginia,65,West Virginia,22.625,8,35.625
319,2023-11-10,Samford,65,VCU,75,VCU,26.5,-10,21.5
320,2023-11-10,Abilene Christian,64,NC State,84,NC State,30.03125,-20,15.03125
321,2023-11-10,Wilberforce,75,Eastern Ky.,133,Eastern Ky.,8.421875,-58,-44.578125
322,2023-11-10,USC Upstate,67,Vanderbilt,74,Vanderbilt,14.0,-7,12.0
323,2023-11-10,Trinity (FL),46,Bethune-Cookman,113,Bethune-Cookman,4.0,-67,-58.0
324,2023-11-10,Southern Miss.,54,Akron,72,Akron,21.46875,-18,8.46875
325,2023-11-10,Tex. A&M-Commerce,61,Kentucky,81,Kentucky,34.3125,-20,19.3125
326,2023-11-10,Wake Forest,77,Georgia,80,Georgia,23.0,-3,25.0
327,2023-11-10,Belmont,76,Furman,99,Furman,15.3203125,-23,-2.6796875
328,2023-11-10,Boston U.,45,Rutgers,69,Rutgers,23.296875,-24,4.296875
329,2023-11-10,Troy,80,Oregon St.,81,Oregon St.,13.65625,-1,17.65625
330,2023-11-10,UTSA,76,Minnesota,102,Minnesota,29.3125,-26,8.3125
331,2023-11-10,Hendrix,39,Central Ark.,82,Central Ark.,3.1875,-43,-34.8125
332,2023-11-10,Lehigh,65,Penn St.,74,Penn St.,19.25,-9,15.25
333,2023-11-10,Manhattan,61,Kansas,99,Kansas,35.234375,-38,2.234375
334,2023-11-10,Oakland,53,Illinois,64,Illinois,32.625,-11,26.625
335,2023-11-10,Alabama St.,67,Iowa,98,Iowa,31.25,-31,5.25
336,2023-11-10,UTRGV,79,South Dakota,100,South Dakota,10.40625,-21,-5.59375
337,2023-11-10,Nicholls,68,LSU,66,LSU,23.453125,2,30.453125
338,2023-11-10,Eastern Wash.,64,Ole Miss,75,Ole Miss,28.0,-11,22.0
339,2023-11-10,Harvard,89,Rice,76,Rice,11.3984375,13,29.3984375
340,2023-11-10,Mid-Amer. Christian,69,Oral Roberts,74,Oral Roberts,16.890625,-5,16.890625
341,2023-11-10,Indiana St.,80,Alabama,102,Alabama,38.0,-22,21.0
342,2023-11-10,Bellarmine,75,Kansas St.,83,Kansas St.,27.1953125,-8,24.1953125
343,2023-11-10,Queens (NC),68,Southern Ill.,91,Southern Ill.,23.125,-23,5.125
344,2023-11-10,Mississippi Val.,43,Oklahoma,82,Oklahoma,29.6875,-39,-4.3125
345,2023-11-10,Grambling,63,Colorado,95,Colorado,33.0,-32,6.0
346,2023-11-10,Tennessee Tech,72,Murray St.,78,Murray St.,14.375,-6,13.375
347,2023-11-10,Gardner-Webb,68,Arkansas,86,Arkansas,25.0,-18,12.0
348,2023-11-10,Southeastern La.,71,Auburn,86,Auburn,37.0,-15,27.0
349,2023-11-10,Dayton,66,Northwestern,71,Northwestern,29.1328125,-5,29.1328125
350,2023-11-10,Southeast Mo. St.,56,Butler,91,Butler,29.46875,-35,-0.53125
351,2023-11-10,Rider,65,Marquette,95,Marquette,36.1796875,-30,11.1796875
352,2023-11-10,Temple,75,Navy,68,Navy,11.46875,7,23.46875
353,2023-11-10,Little Rock,71,UIC,86,UIC,22.125,-15,12.125
354,2023-11-10,Idaho St.,53,St. Thomas (MN),54,St. Thomas (MN),20.5,-1,24.5
355,2023-11-10,Delaware St.,59,Texas,86,Texas,30.375,-27,8.375
356,2023-11-10,Memphis,70,Missouri,55,Missouri,28.1875,15,48.1875
357,2023-11-10,IUPUI,66,Valparaiso,56,Valparaiso,9.5703125,10,24.5703125
358,2023-11-10,Wright St.,77,Colorado St.,105,Colorado St.,34.0,-28,11.0
359,2023-11-10,Sacramento St.,73,Stanford,91,Stanford,24.28125,-18,11.28125
360,2023-11-10,Tennessee,80,Wisconsin,70,Wisconsin,29.4609375,10,44.4609375
361,2023-11-10,Montana,61,Oregon,75,Oregon,29.0,-14,20.0
362,2023-11-10,San Diego St.,65,BYU,74,BYU,45.3125,-9,41.3125
363,2023-11-10,Yale,71,Gonzaga,86,Gonzaga,29.265625,-15,19.265625
364,2023-11-10,Clemson,77,UAB,76,UAB,17.0,1,23.0
365,2023-11-10,Virginia Tech,77,South Carolina,79,South Carolina,28.0,-2,31.0
366,2023-11-10,Prairie View,65,Washington St.,83,Washington St.,27.0,-18,14.0
367,2023-11-10,UC Riverside,53,Utah,82,Utah,37.5625,-29,13.5625
368,2023-11-10,Jackson St.,66,California Baptist,80,California Baptist,14.0,-14,5.0
369,2023-11-10,Pacific,87,California,79,California,19.34375,8,32.34375
370,2023-11-10,Lafayette,50,UCLA,68,UCLA,22.375,-18,9.375
371,2023-11-11,Texas St.,75,Miami (OH),65,Miami (OH),12.1171875,10,27.1171875
372,2023-11-11,Loyola Maryland,77,Brown,75,Brown,10.6875,2,17.6875
373,2023-11-11,ULM,74,Central Mich.,64,Central Mich.,4.0,10,19.0
374,2023-11-11,Stonehill,67,UConn,107,UConn,38.5,-40,3.5
375,2023-11-11,Ga. Southern,60,Eastern Mich.,70,Eastern Mich.,7.625,-10,2.625
376,2023-11-11,High Point,98,Wofford,99,Wofford,17.4453125,-1,21.4453125
