,year,date,team1,team1_score,team2,team2_score
211,2024,2023-11-07,Westcliff,68,LMU (CA),109
212,2024,2023-11-07,UC Merced,69,UC Riverside,76
213,2024,2023-11-08,Fisher,79,Bryant,140
214,2024,2023-11-08,Me.-Presque Isle,59,Maine,111
215,2024,2023-11-08,Brevard,44,Winthrop,98
216,2024,2023-11-08,Troy,70,Ohio,88
217,2024,2023-11-08,SUNY Morrisville,86,Cornell,107
218,2024,2023-11-08,Goldey-Beacom,68,Delaware,101
219,2024,2023-11-08,Penn St.-Brandywine,63,FDU,107
220,2024,2023-11-08,Canisius,77,Syracuse,89
221,2024,2023-11-08,Defiance,41,Cleveland St.,102
222,2024,2023-11-08,Curry,38,New Hampshire,115
223,2024,2023-11-08,Bucknell,61,Penn,80
224,2024,2023-11-08,Fla. Atlantic,75,Loyola Chicago,62
225,2024,2023-11-08,Shawnee St.,40,Morehead St.,96
226,2024,2023-11-08,Western Ill.,53,SMU,90
227,2024,2023-11-08,Monmouth (IL),45,Eastern Ill.,91
228,2024,2023-11-08,Tex. A&M-Commerce,46,Texas Tech,73
229,2024,2023-11-08,Mt. Marty,66,North Dakota St.,93
230,2024,2023-11-08,Lipscomb,70,Drake,85
231,2024,2023-11-08,Dakota Wesleyan,55,South Dakota St.,83
232,2024,2023-11-08,Northern N.M.,60,Northern Colo.,81
233,2024,2023-11-08,Xavier (LA),62,Alcorn,70
234,2024,2023-11-08,Lincoln (MO),66,Saint Louis,102
235,2024,2023-11-08,Lewis & Clark,72,Portland,89
236,2024,2023-11-08,Sul Ross St.,49,New Mexico St.,84
237,2024,2023-11-08,Arizona St.,56,Mississippi St.,71
238,2024,2023-11-08,Jackson St.,61,San Diego,87
239,2024,2023-11-08,Utah Tech,69,Santa Clara,77
240,2024,2023-11-08,Prairie View,60,Seattle U,71
241,2024,2023-11-08,Southern U.,85,UNLV,71
242,2024,2023-11-09,John Brown,70,Baylor,96
243,2024,2023-11-09,Pepperdine,78,UC Davis,79
244,2024,2023-11-09,Cheyney,52,Morgan St.,100
245,2024,2023-11-09,Mid-Atlantic Christ.,46,Hampton,109
246,2024,2023-11-09,Columbia Int'l,58,Presbyterian,100
247,2024,2023-11-09,Molloy,48,Wagner,83
248,2024,2023-11-09,Northwestern St.,71,Tulane,88
249,2024,2023-11-09,St. Francis (IL),56,Green Bay,72
250,2024,2023-11-09,North Florida,81,Charleston So.,70
251,2024,2023-11-09,Worcester St.,72,Merrimack,93
252,2024,2023-11-09,ETSU,76,Elon,79
253,2024,2023-11-09,Christendom,53,VMI,87
254,2024,2023-11-09,Southern Ind.,51,Michigan St.,74
255,2024,2023-11-09,Army West Point,44,Stonehill,57
256,2024,2023-11-09,Tarleton St.,82,FIU,65
257,2024,2023-11-09,South Carolina St.,52,South Fla.,96
258,2024,2023-11-09,Virginia-Lynchburg,54,N.C. Central,107
259,2024,2023-11-09,American,56,William & Mary,75
260,2024,2023-11-09,Fairfield,80,Rhode Island,93
261,2024,2023-11-09,Apprentice,56,Norfolk St.,90
262,2024,2023-11-09,James Madison,113,Kent St.,108
263,2024,2023-11-09,Andrews,34,Purdue Fort Wayne,130
264,2024,2023-11-09,Point Park,56,Robert Morris,66
265,2024,2023-11-09,Utah Valley,79,Sam Houston,73
266,2024,2023-11-09,Western Ky.,61,Wichita St.,71
267,2024,2023-11-09,Howard,85,Georgia Tech,88
268,2024,2023-11-09,Lindenwood,47,Iowa St.,102
269,2024,2023-11-09,Towson,70,Coppin St.,49
270,2024,2023-11-09,Omaha,60,TCU,82
271,2024,2023-11-09,Kentucky St.,58,Tennessee St.,83
272,2024,2023-11-09,SFA,62,Middle Tenn.,67
273,2024,2023-11-09,Alabama A&M,67,North Ala.,83
274,2024,2023-11-09,UHSP,46,Evansville,116
275,2024,2023-11-09,Lamar University,67,SMU,78
276,2024,2023-11-09,Mercer,66,Chicago St.,61
277,2024,2023-11-09,Florida A&M,54,Nebraska,81
278,2024,2023-11-09,Champion Chris.,73,Ark.-Pine Bluff,116
279,2024,2023-11-09,North Park,67,SIUE,92
280,2024,2023-11-09,LIFE Pacific,73,Southern Utah,108
281,2024,2023-11-09,Science & Arts Okla.,72,UTEP,123
282,2024,2023-11-09,CSU Bakersfield,59,Southern California,85
283,2024,2023-11-09,CSUN,76,Idaho,73
284,2024,2023-11-09,Cal Poly,76,Denver,97
285,2024,2023-11-09,Saint Francis (PA),52,San Francisco,84
286,2024,2023-11-09,Portland St.,82,UC Santa Barbara,76
287,2024,2023-11-09,New Mexico,58,Saint Mary's (CA),72
288,2024,2023-11-09,Bethesda (CA),72,San Jose St.,117
289,2024,2023-11-09,Northern Ky.,67,Washington,75
290,2024,2023-11-10,Air Force,82,LIU,67
291,2024,2023-11-10,Central Conn. St.,70,Quinnipiac,74
